slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen
conservas-manchegas-antonio-bolanos-de-calatrava,Conservas Manchegas Antonio,Bolaños de Calatrava,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","Ctra. de Torralba, km 1,8, Pol. Ind. El Salobral","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 870 112,atconsumidor@conservasantonio.com,https://www.conservasantonio.com,,https://www.instagram.com/conservasantonio/,https://www.google.com/maps/search/?api=1&query=Conservas%20Manchegas%20Antonio%2C%20Ctra.%20de%20Torralba%2C%20km%201%2C8%2C%20Pol.%20Ind.%20El%20Salobral%2C%20Bola%C3%B1os%20de%20Calatrava%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9062533,-3.6629811,
conservas-garcia-almagro,Conservas García,Almagro,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","C. Leonardo da Vinci, 4","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 860 184,,https://berenjenadealmagroigp.com/quienes-somos/,,,https://www.google.com/maps/search/?api=1&query=Conservas%20Garc%C3%ADa%2C%20C.%20Leonardo%20da%20Vinci%2C%204%2C%20Almagro%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8754571,-3.7039788,
cortijo-de-calatrava-conservas-calzado-bolanos-de-calatrava,Cortijo de Calatrava - Conservas Calzado,Bolaños de Calatrava,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","Ctra. de Torralba, 6","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,673 432 106,info@rioverde.es,https://www.conservas-calzado.es,,,https://www.google.com/maps/search/?api=1&query=Cortijo%20de%20Calatrava%20-%20Conservas%20Calzado%2C%20Ctra.%20de%20Torralba%2C%206%2C%20Bola%C3%B1os%20de%20Calatrava%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9062533,-3.6629811,
conservas-la-plaza-almagro,Conservas La Plaza,Almagro,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","C. Ejido de San Juan, 39","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 860 806,berenjenas@la-plaza.es,https://www.la-plaza.es,,,https://www.google.com/maps/search/?api=1&query=Conservas%20La%20Plaza%2C%20C.%20Ejido%20de%20San%20Juan%2C%2039%2C%20Almagro%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8860631,-3.7068532,
conservas-almagrena-almagro,Conservas Almagreña,Almagro,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","C. Ejido de San Juan, 39","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 860 806,,https://www.almagrena.es,,,https://www.google.com/maps/search/?api=1&query=Conservas%20Almagre%C3%B1a%2C%20C.%20Ejido%20de%20San%20Juan%2C%2039%2C%20Almagro%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8860631,-3.7068532,
frudiaz-almagro,Frudiaz,Almagro,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","C. Colegio, 29","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 861 156,berenjenas@frudiaz.com,https://berenjenadealmagroigp.com/quienes-somos/,,,https://www.google.com/maps/search/?api=1&query=Frudiaz%2C%20C.%20Colegio%2C%2029%2C%20Almagro%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8924191,-3.7149797,
la-encajera-almagro-almagro,La Encajera Almagro,Almagro,Conservas,"Berenjena de Almagro IGP, encurtidos, conservas vegetales","C. Vistillas de Santiago, 16","Elaborador inscrito en la IGP Berenjena de Almagro, producto tradicional del Campo de Calatrava.",Consultar web,926 861 156,administracion@laencajera.es,https://www.laencajera.es,,,https://www.google.com/maps/search/?api=1&query=La%20Encajera%20Almagro%2C%20C.%20Vistillas%20de%20Santiago%2C%2016%2C%20Almagro%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8951669,-3.7118874,
oro-la-senda-almazara-la-solana,Oro La Senda Almazara,La Solana,Aceite,"AOVE ecológico, Oro La Senda, Cornicabra, Picual","CM-3109 km 27,200, polígono 7 parcela 443",Almazara familiar de La Solana productora de AOVE ecológico amparado por la DOP Aceite Campo de Montiel.,Consultar web,,,https://oleista.com/es/almazaras/ciudad-real/almazara-la-senda-12119,,https://www.instagram.com/orolasendaalmazara/,https://www.google.com/maps/search/?api=1&query=Oro%20La%20Senda%20Almazara%2C%20CM-3109%20km%2027%2C200%2C%20pol%C3%ADgono%207%20parcela%20443%2C%20La%20Solana%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9419370,-3.2365280,
cooperativa-campo-de-montiel-villanueva-de-los-infantes,Cooperativa Campo de Montiel,Villanueva de los Infantes,Aceite,"AOVE Campo de Montiel, Casa Capitán, Señorío de Quevedo","Paseo de las Cooperativas, s/n",Cooperativa con bodega y almazara que elabora aceites DOP Campo de Montiel y vinos de la comarca.,Consultar web,926 360 290,,https://turismo.ciudadreal.es/project/d-o-aceite-campo-de-montiel/,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Campo%20de%20Montiel%2C%20Paseo%20de%20las%20Cooperativas%2C%20s/n%2C%20Villanueva%20de%20los%20Infantes%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7339635,-3.0135587,
fabrica-de-aceites-san-sebastian-santa-cruz-de-mudela,Fábrica de Aceites San Sebastián,Santa Cruz de Mudela,Aceite,"AOVE Campo de Montiel, aceite de oliva","Santa Cruz de Mudela, 13730",Almazara histórica de Santa Cruz de Mudela vinculada a la producción de aceites de la DOP Campo de Montiel.,Consultar web,,,https://espana.gastronomia.com/productos/productores/fabrica-de-aceites-san-sebastian-s-a,,,https://www.google.com/maps/search/?api=1&query=F%C3%A1brica%20de%20Aceites%20San%20Sebasti%C3%A1n%2C%20Santa%20Cruz%20de%20Mudela%2C%2013730%2C%20Santa%20Cruz%20de%20Mudela%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.6445907,-3.4513524,
cooperativa-santa-catalina-la-solana,Cooperativa Santa Catalina,La Solana,Aceite,"Aceite de oliva, AOVE, aceituna local","La Solana, 13240",Cooperativa oleícola de La Solana dedicada a aceite de oliva y productos del olivar de la comarca.,Consultar web,,,https://www.verema.com/almazaras/100330-cooperativa-santa-catalina-solana,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Santa%20Catalina%2C%20La%20Solana%2C%2013240%2C%20La%20Solana%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9667221,-3.2888747,
miel-ferrandis-artesana-tomelloso,Miel Ferrandis Artesana,Tomelloso,Miel,"Miel artesanal, miel natural, productos de colmena","C. Lisboa, 1",Explotación apícola familiar de Tomelloso con tradición desde 1917 y venta directa de miel natural.,Consultar web,607 762 649,,https://www.tomemiel.es/,,https://www.instagram.com/tomemiel/,https://www.google.com/maps/search/?api=1&query=Miel%20Ferrandis%20Artesana%2C%20C.%20Lisboa%2C%201%2C%20Tomelloso%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,39.1536518,-3.0073481,
apicola-sierra-madrona-solana-del-pino,Apícola Sierra Madrona,Solana del Pino,Miel,"Miel pura, miel de sierra, productos apícolas","C. Víctimas del Terrorismo, 1",Productor de miel de Solana del Pino especializado en miel pura de abeja de Sierra Madrona.,Consultar web,,,https://turispain.es/item/apicola-sierra-madrona/,,,https://www.google.com/maps/search/?api=1&query=Ap%C3%ADcola%20Sierra%20Madrona%2C%20C.%20V%C3%ADctimas%20del%20Terrorismo%2C%201%2C%20Solana%20del%20Pino%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.4653698,-4.0726317,
moremiel-puertollano,Moremiel,Puertollano,Miel,"Miel artesanal, miel de alta calidad","C. Cervantes, 75",Empresa apícola de Puertollano dedicada a producción y venta de miel de forma artesanal.,Consultar web,,,https://nova-inmobiliaria.es/moremiel/,,,https://www.google.com/maps/search/?api=1&query=Moremiel%2C%20C.%20Cervantes%2C%2075%2C%20Puertollano%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.6796530,-4.1058685,
ecocolmena-ciudad-real-javier-y-vanesa-ciudad-real,Ecocolmena Ciudad Real - Javier y Vanesa,Ciudad Real,Miel,"Miel ecológica, apicultura sostenible, adopción de colmenas",Ciudad Real,Proyecto de apicultura ecológica en Ciudad Real centrado en miel limitada y cuidado de colmenas.,Consultar web,,,https://www.ecocolmena.org/apicultores-anfitriones/ciudad-real/,,https://www.instagram.com/ecocolmena/,https://www.google.com/maps/search/?api=1&query=Ecocolmena%20Ciudad%20Real%20-%20Javier%20y%20Vanesa%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9854201,-3.9285138,
miel-la-colmena-cabezarados,Miel La Colmena,Cabezarados,Miel,"Miel mil flores, miel de Cabezarados","Cabezarados, 13192",Productor local de miel de Cabezarados citado por tiendas especializadas como miel natural de Ciudad Real.,Consultar web,,,https://lamaisondetecafe.es/producto/miel-de-mil-flores-1kg/,,,https://www.google.com/maps/search/?api=1&query=Miel%20La%20Colmena%2C%20Cabezarados%2C%2013192%2C%20Cabezarados%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.8458396,-4.2978772,
grano-a-grano-bakery-ciudad-real,Grano a Grano Bakery,Ciudad Real,Pan y pastelería,"Pan de masa madre, bollería casera, bizcochos","C. Socuéllamos, 14, nave 12",Obrador artesano de pan en Ciudad Real con masa madre propia y fermentaciones largas.,Consultar web,658 542 068,,https://granoagranoobrador.com/,,https://www.instagram.com/granoagranobakery/,https://www.google.com/maps/search/?api=1&query=Grano%20a%20Grano%20Bakery%2C%20C.%20Socu%C3%A9llamos%2C%2014%2C%20nave%2012%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9767574,-3.9293666,
el-obrador-de-tartypas-ciudad-real,El Obrador de Tartypas,Ciudad Real,Pan y pastelería,"Tartas, pastelería, dulces y salados","C. Hernán Pérez del Pulgar, 3",Obrador familiar de pastelería y confitería de Ciudad Real con trayectoria desde 1964.,Consultar web,,,https://tartypas.es/,,,https://www.google.com/maps/search/?api=1&query=El%20Obrador%20de%20Tartypas%2C%20C.%20Hern%C3%A1n%20P%C3%A9rez%20del%20Pulgar%2C%203%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9834985,-3.9275100,
el-obrador-de-ciudad-real-ciudad-real,El Obrador de Ciudad Real,Ciudad Real,Pan y pastelería,"Pastelería artesanal, tartas, catering dulce","C. Alcántara, 8",Obrador de pastelería fundado en 2007 con elaboración propia y tienda en el centro de Ciudad Real.,Consultar web,672 743 177,info@elobradordeciudadreal.es,https://elobradordeciudadreal.es/,,https://www.instagram.com/elobradordeciudadreal/,https://www.google.com/maps/search/?api=1&query=El%20Obrador%20de%20Ciudad%20Real%2C%20C.%20Alc%C3%A1ntara%2C%208%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9855899,-3.9247927,
panaderia-juan-pedro-e-hijos-ciudad-real,Panadería Juan Pedro e Hijos,Ciudad Real,Pan y pastelería,"Pan de Cruz, panes tradicionales, pan de espelta",Ciudad Real,Panadería asociada a Afexppan centrada en elaboración de pan de cruz y variedades artesanas.,Consultar web,,,https://afexppan.es/equipo/panaderia-juan-pedro-e-hijos-cb/,,https://www.instagram.com/juan_pedro_e_hijos/,https://www.google.com/maps/search/?api=1&query=Panader%C3%ADa%20Juan%20Pedro%20e%20Hijos%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9854201,-3.9285138,
cervezas-calatrava-poblete,Cervezas Calatrava,Poblete,Cerveza artesana,"Cerveza pura malta, Calatrava, formatos botella y barril","C. Carlos Morales, s/n",Marca cervecera histórica de Ciudad Real con centro logístico en Poblete y raíz local manchega.,Consultar web,902 101 954,,https://www.distillery.news/places/spain/ciudad-real/poblete/breweries/cervezas-calatrava/,,,https://www.google.com/maps/search/?api=1&query=Cervezas%20Calatrava%2C%20C.%20Carlos%20Morales%2C%20s/n%2C%20Poblete%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.9292411,-3.9855231,
cervezas-artesanas-la-primera-alcazar-de-san-juan,Cervezas Artesanas La Primera,Alcázar de San Juan,Cerveza artesana,"Cerveza artesana, cerveza de obrador","C. Zanja, 23",Obrador de cerveza artesana ubicado en Alcázar de San Juan.,Consultar web,,,https://zaubee.com/biz/cervezas-artesanas-la-primera-fabrica-obrador-tgb0z4j3,,,https://www.google.com/maps/search/?api=1&query=Cervezas%20Artesanas%20La%20Primera%2C%20C.%20Zanja%2C%2023%2C%20Alc%C3%A1zar%20de%20San%20Juan%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,39.3973315,-3.2162654,
bodegas-aruspide-valdepenas,Bodegas Arúspide,Valdepeñas,Bodega,"Ágora, Hoyo 19, Alaris","C. Francisco Morales, 102",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 347 075,,https://www.aruspide.com,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Ar%C3%BAspide%2C%20C.%20Francisco%20Morales%2C%20102%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7728944,-3.3843113,
felix-solis-valdepenas,Félix Solís,Valdepeñas,Bodega,"Los Molinos, Diego de Almagro, Soldepeñas","Autovía Madrid-Andalucía, km 199",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 322 400,bfs@felixsolis.com,https://www.felixsolis.com,,https://www.instagram.com/felixsolisavantis/,https://www.google.com/maps/search/?api=1&query=F%C3%A9lix%20Sol%C3%ADs%2C%20Autov%C3%ADa%20Madrid-Andaluc%C3%ADa%2C%20km%20199%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7594573,-3.3847392,
vina-albali-reservas-valdepenas,Viña Albali Reservas,Valdepeñas,Bodega,"Viña Albali, vinos de crianza","C. Zarzas, 1",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 347 940,bfs@felixsolis.com,https://www.felixsolis.com,,https://www.instagram.com/felixsolisavantis/,https://www.google.com/maps/search/?api=1&query=Vi%C3%B1a%20Albali%20Reservas%2C%20C.%20Zarzas%2C%201%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7589634,-3.3806274,
miguel-calatayud-valdepenas,Miguel Calatayud,Valdepeñas,Bodega,"Vegaval, Lomasol, Cenciren","C. Postas, 20",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 348 070,vegaval@vegaval.com,https://www.vegaval.com,,,https://www.google.com/maps/search/?api=1&query=Miguel%20Calatayud%2C%20C.%20Postas%2C%2020%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7653434,-3.3911574,
rafael-lopez-tello-valdepenas,Rafael López-Tello,Valdepeñas,Bodega,"Señorío López-Tello, Gran Mohino","Av. Estudiantes, 5",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 322 165,,https://www.lopeztello.com,,,https://www.google.com/maps/search/?api=1&query=Rafael%20L%C3%B3pez-Tello%2C%20Av.%20Estudiantes%2C%205%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7738474,-3.3982931,
bodegas-real-valdepenas,Bodegas Real,Valdepeñas,Bodega,"Finca Marisánchez, Vega Ibor","Ctra. a Cózar, km 12,800",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 338 001,comercial@bodegas-real.com,https://www.bodegas-real.com,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Real%2C%20Ctra.%20a%20C%C3%B3zar%2C%20km%2012%2C800%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7594573,-3.3847392,
bodegas-los-marcos-santa-cruz-de-mudela,Bodegas Los Marcos,Santa Cruz de Mudela,Bodega,"Montecruz, Viña Mayte","C. Cristo, 2",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 349 028,info@bodegaslosmarcos.com,https://www.bodegaslosmarcos.com,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Los%20Marcos%2C%20C.%20Cristo%2C%202%2C%20Santa%20Cruz%20de%20Mudela%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.6419862,-3.4666934,
bodegas-marin-perona-valdepenas,Bodegas Marín Perona,Valdepeñas,Bodega,"Marín Perona, Calara Viejo, Tejeruelas","C. Castellanos, 99",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 313 296,tavirog@bodegapepe.com,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Mar%C3%ADn%20Perona%2C%20C.%20Castellanos%2C%2099%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7610967,-3.3850705,
bodegas-espinosa-valdepenas,Bodegas Espinosa,Valdepeñas,Bodega,"Concejal, Señorío de Valdepeñas","Autovía Madrid-Andalucía, km 198",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 321 854,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Espinosa%2C%20Autov%C3%ADa%20Madrid-Andaluc%C3%ADa%2C%20km%20198%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7594573,-3.3847392,
bodegas-lopez-romero-valdepenas,Bodegas López Romero,Valdepeñas,Bodega,Vega Chiró,"C. Francisco Morales, 94",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 323 539,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20L%C3%B3pez%20Romero%2C%20C.%20Francisco%20Morales%2C%2094%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7728944,-3.3843113,
bodegas-canchollas-valdepenas,Bodegas Canchollas,Valdepeñas,Bodega,"Viña Botija, Gran Botija","C. Solanilla, 2",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 322 357,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Canchollas%2C%20C.%20Solanilla%2C%202%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7680947,-3.3910993,
bodegas-luis-megia-valdepenas,Bodegas Luis Megía,Valdepeñas,Bodega,"Islero, Duque de Estrada, Don Luis Megía","C. Cruces, 27",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 347 908,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Luis%20Meg%C3%ADa%2C%20C.%20Cruces%2C%2027%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7635161,-3.3805799,
bodegas-antonio-canaveras-santa-cruz-de-mudela,Bodegas Antonio Cañaveras,Santa Cruz de Mudela,Bodega,Vinos familiares de Santa Cruz de Mudela,"C. Gloria, 42",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,629 739 298,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Antonio%20Ca%C3%B1averas%2C%20C.%20Gloria%2C%2042%2C%20Santa%20Cruz%20de%20Mudela%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.6400696,-3.4636454,
bodegas-miguel-martin-valdepenas,Bodegas Miguel Martín,Valdepeñas,Bodega,"Valdemeso, Destellos","C. Torrecilla, 80",Bodega de la zona de Valdepeñas dedicada a la elaboración de vinos locales y marcas propias.,Consultar web,926 322 174,,https://apoloybaco.com/vinos/bodegas-do-valdepenas/,,,https://www.google.com/maps/search/?api=1&query=Bodegas%20Miguel%20Mart%C3%ADn%2C%20C.%20Torrecilla%2C%2080%2C%20Valdepe%C3%B1as%2C%20Ciudad%20Real%2C%20Espa%C3%B1a,38.7624802,-3.3894812,
