slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
patagonia-cocina,Patagonia Cocina,San Martín de los Andes,Condimentos,"Condimentos, Risottos de yamani, Quinoa","Berta koessler 215, San Martín de los Andes, Neuquén","Condiment producer at San Martín de los Andes, Neuquén, making Condimentos and Risottos de yamani.",,+5492944612426,patagoniacocinasma@gmail.com,,,,,-40.12605,-71.24881,,parcial,no comprobado,,,871,en,,,,,
raderas-neuquinas,Raderas Neuquinas,Centenario,Aceite,Aceite de oliva extra virgen,"Ruta 7 Km 13, Centenario, Neuquén","Olive oil producer at Centenario, Neuquén, making Aceite de oliva extra virgen.",,+5492995106205,praderasneuquinas@gmail.com,https://www.praderasneuquinas.com.ar,https://www.facebook.com/praderasneuquinasaceitedeoliva,https://www.instagram.com/praderasneuquinas/,,-38.85262,-68.12058,,parcial,no comprobado,,,924,en,,,,,
puerta-oeste,Puerta Oeste,Senillosa,Vino,Vinos,"Chacra 54 lote 2, Senillosa, Neuquén","Winery at Senillosa, Neuquén, making Vinos.",,+5492994041743,,,,https://www.instagram.com/vinospuertaoeste/,,-39.01009,-68.42598,,parcial,no comprobado,,,900,en,,,,,
septimo-becu,Septimo Becu,Villa La Angostura,Conservas,"Chutney, Barbacoa","Canopus 140, Villa La Angostura, Neuquén","Preserves producer at Villa La Angostura, Neuquén, making Chutney and Barbacoa.",,+5492944554430,,,,,,-40.76300,-71.64100,,parcial,no comprobado,,,963,en,,,,,
bodega-familia-schroeder,Bodega Familia Schroeder,San Patricio del Chañar,Vino,"Vinos, Espumantes","Calle 7 Norte, San Patricio del Chañar, Neuquén","Winery at San Patricio del Chañar, Neuquén, making Vinos and Espumantes.",,+5492995930187,ngiampietri@familiaschroeder.com,https://www.familiaschroeder.com/suspended.page/1_mb,https://www.facebook.com/schroederwines,https://www.instagram.com/schroederwines/,,-38.62588,-68.29990,,parcial,no comprobado,,,182,en,,,,,
celi-deli,Celi Deli,Villa La Angostura,Dulces y repostería,"Pastelería, Panadería sin TACC","Arrayanes 256, Villa La Angostura, Neuquén","Confectionery producer at Villa La Angostura, Neuquén, making Pastelería and Panadería sin TACC.",,+5492944355720,info@celideli.com,https://celideli.com,,https://www.instagram.com/celi.deli/,,-40.76183,-71.64494,,parcial,no comprobado,,,336,en,,,,,
miel-de-alumine,Miel de Alumine,Aluminé,Miel,Miel Pura,"Paraje Lolen Pulmari Alumine, Aluminé, Neuquén","Beekeeping producer at Aluminé, Neuquén, making Miel Pura.",,+5492942548936,,,,,,-39.23847,-70.91595,,parcial,no comprobado,,,783,en,,,,,
sauzal-bonito,Sauzal Bonito,Sauzal Bonito,Conservas,Confitura de cereza,"Calle principal, Sauzal Bonito, Neuquén","Preserves producer at Sauzal Bonito, Neuquén, making Confitura de cereza.",,+5492996298139,comisiondefomentosauzalbonito@yahoo.com,,,https://www.instagram.com/cfsauzalbonito/,,-38.60167,-69.10556,,parcial,no comprobado,,,953,en,,,,,
bodega-malma,Bodega Malma,San Patricio del Chañar,Vino,Vinos,"Ruta 7 y Picada 15, San Patricio del Chañar, Neuquén","Winery at San Patricio del Chañar, Neuquén, making Vinos.",,+5492995834238,agostina@bodegamalma.com,https://www.bodegamalma.com,,https://www.instagram.com/malmawines/,,-38.62588,-68.29990,,parcial,no comprobado,,,225,en,,,,,
cordecc,Cordecc,Chos Malal,Carne,Chivito congelado con denominación de origen,"General Justo 45, Chos Malal, Neuquén","Cured meat producer at Chos Malal, Neuquén, making Chivito congelado con denominación de origen.",,,,,https://www.facebook.com/Cordecc-Sapem,https://www.instagram.com/cordeccsapem/,,-37.37483,-70.27633,,parcial,no comprobado,,,417,en,,,,,
la-mami-mermeladas,La Mami Mermeladas,San Martín de los Andes,Conservas,Mermeladas,"Juan Manuel de Rosas y Gral. Roca s/n, San Martín de los Andes, Neuquén","Preserves producer at San Martín de los Andes, Neuquén, making Mermeladas.",,+5492944727386,,,,https://www.instagram.com/mermeladaslamami/,,-40.15694,-71.35271,,parcial,no comprobado,,,697,en,,,,,
patagonia-saludable,Patagonia Saludable,San Martín de los Andes,Condimentos,"Condimentos, Risottos","Juan Manuel de Rosas y Gral. Roca s/n, San Martín de los Andes, Neuquén","Condiment producer at San Martín de los Andes, Neuquén, making Condimentos and Risottos.",,+5492944612426,patagoniasaludablesma@gmail.com,,,https://www.instagram.com/patagoniasaludable/,,-40.15694,-71.35271,,parcial,no comprobado,,,873,en,,,,,
fresas-del-nahuel,Fresas del Nahuel,Plottier,Conservas,"Mermeladas, Dulces, Frutas pasteurizadas","Los Teros 220, Plottier, Neuquén","Preserves producer at Plottier, Neuquén, making Mermeladas and Dulces.",,+5492994225354,,,,https://www.instagram.com/fresas_del_nahuel/,,-38.95235,-68.22715,,parcial,no comprobado,,,564,en,,,,,
vinos-artesanales-puerta-oeste,Vinos Artesanales Puerta Oeste,Senillosa,Vino,Vinos artesanales,"Chacra n°54-Lote 2- Colónia San Jose, Senillosa, Neuquén","Winery at Senillosa, Neuquén, making Vinos artesanales.",,+5492994041743,,,,https://www.instagram.com/vinospuertaoeste/,,-39.01009,-68.42598,,parcial,no comprobado,,,1023,en,,,,,
fernando-javier-zurita,Fernando Javier Zurita,Plottier,Conservas,"Mermeladas libres de gluten, Conservas en almíbar de frutas","Los teros 220, Plottier, Neuquén","Preserves producer at Plottier, Neuquén.",,+5492994225335,zuritafernando@yahoo.com.ar,https://fresasdelnahuel.com.ar,,,,-38.95235,-68.22715,,parcial,no comprobado,,,529,en,,,,,
miel-rocio-de-la-montana,Miel “rocío de La Montaña”,Huinganco,Miel,Miel de abejas,"El manzano s/n, Huinganco, Neuquén","Beekeeping producer at Huinganco, Neuquén, making Miel de abejas.",,+5492942407943,edmundocandia@yahoo.com.ar,,,https://www.instagram.com/candiaedmundo/,,-37.11628,-70.62050,,parcial,no comprobado,,,794,en,,,,,
flor-dorada,Flor Dorada,Vista Alegre,Fruta y verdura,"Canastas semanales de verdura, rúcula, tomates, frutillas",,"Family growers in the Neuquén valley, pioneers of organic market gardening in the province, cropping rocket, lettuces, tomatoes, chives, basil, spring onion, cucumber, chard, broccoli, aubergine, herbs, kale, escarole, beans, strawberries, squash, pears and apples with their own composts and preparations, certified by Argencert and Ecocert and sold as weekly baskets.",,,canastaflordorada@gmail.com,,https://www.facebook.com/HuertaFlorDorada/,,,-38.798336,-68.129167,,parcial,no comprobado,,Condimentos,558,en,,,,,
nueces-de-la-casa-magica,Nueces de la Casa Mágica,Neuquén,Frutos secos,Nueces,,Agroecological walnut grower working with biodynamic practices in the Neuquén valley.,,+5492984274774,,,,,,-38.933691,-68.106331,,parcial,no comprobado,,,837,en,,,,,
buena-vida-verduras-agroecologicas,Buena Vida Verduras Agroecológicas,Vista Alegre,Fruta y verdura,Verduras agroecológicas,,"Agroecological vegetable growers at Vista Alegre, in the Neuquén valley.",,,,,https://www.facebook.com/Buena-Vida-Verduras-Agroecol%C3%A1gicas-301611586996699/,,,-38.757629,-68.159565,,parcial,no comprobado,,,309,en,,,,,
servicios-neuquinos-la-paisana,Servicios Neuquinos — La Paisana,Añelo,Aceite,Aceite de oliva virgen extra Inizio,"Loma de La Paisana, Fortín de Piedra",,,,,https://www.seneu.com.ar/,,,,,,,parcial,no comprobado,,,1133,,,,,,
