slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
bitto-zoo-farm-di-giupponi-patrick-300,Zoo Farm di Giupponi Patrick — Alpeggio casera,Cusio,Lácteos y quesos,Bitto DOP,"Alpeggio casera, Cusio",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.011091,9.597759,,parcial,no comprobado,,,3377,es,,,,,
bitto-cattaneo-alfio-344,Cattaneo Alfio — Alpeggio arale III baita,Foppolo,Lácteos y quesos,Bitto DOP,"Alpeggio arale III baita, Foppolo",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.035772,9.752464,,parcial,no comprobado,,,1504,es,,,,,
bitto-salvini-juri-327,"Salvini Juri — Alpeggio terzera, siltri",Mezzoldo,Lácteos y quesos,Bitto DOP,"Alpeggio terzera, siltri, Mezzoldo",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.037016,9.675522,,parcial,no comprobado,,,3068,es,,,,,
bitto-soc-agr-grigio-alpina-di-gusmeroli-cristina-e-mirco-soc-semplice-304,"Soc. Agr. Grigio Alpina di Gusmeroli Cristina e Mirco Soc. Semplice — Alpeggio cul, località passo san marco",Averara,Lácteos y quesos,Bitto DOP,"Alpeggio cul, località passo san marco, Averara",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.034405,9.631667,,parcial,no comprobado,,,3138,es,,,,,
bitto-soc-agr-fognini-roberto-rocco-e-lino-378,"Soc. Agr. Fognini Roberto, Rocco e Lino — Alpeggio S. Martino, 24",Santa Brigida,Lácteos y quesos,Bitto DOP,"Alpeggio S. Martino, 24, Santa Brigida",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.036230,9.620651,,parcial,no comprobado,,,3134,es,,,,,
bitto-az-agr-giupponi-farm-di-giupponi-erich-379,Az. Agr. Giupponi Farm di Giupponi Erich — Alpeggio Pregalleno 11,Cusio,Lácteos y quesos,Bitto DOP,"Alpeggio Pregalleno 11, Cusio",Unidad de producción alpina inscrita por el consorcio oficial como productora de Bitto DOP.,,,,https://www.ctcb.it/soci/bitto-dop,,,,46.026111,9.585829,,parcial,no comprobado,,,236,es,,,,,
bugan-coffee-lab,Bugan Coffee Lab,Bergamo,Café,"Café en grano, espresso y filtro",,Microtorrefazione y academia SCA fundada por Maurizio Valli con obrador de tueste propio en Via Quarenghi.,,,,https://bugancoffeelab.com/,,https://www.instagram.com/bugancoffeelab/,,45.695000,9.670000,,verificado,no comprobado,,,713,es,,,,,
molino-nicoli-spa,MOLINO NICOLI SPA,Costa di Mezzate,Pan y cereal,,,,,,info@molinonicoli.it,https://molinonicoli.it/,,,,,,,parcial,no comprobado,,,3567,,,,,,
caminella,Caminella,Cenate Sotto,Vino,,,,,+39035941828,caminella@caminella.it,https://www.caminella.it/,https://www.facebook.com/caminellaaziendavitivinicola,https://www.instagram.com/caminella_az_vitivinicola/,,,,,parcial,sí,ecommerce,,3565,,,,,,
medolago-albani,Medolago Albani,Trescore Balneario,Vino,,,,,+39035942022,info@medolagoalbani.it,https://www.medolagoalbani.it/sc/azienda,https://www.facebook.com/azmedolagoalbani/,https://www.instagram.com/medolagoalbani_wine/,,,,,parcial,no comprobado,,,3566,,,,,,
