slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id
tabechoku-21210,新栄丸,Saiki,Pescado,牡蠣,,Produces oysters at its Saiki unit.,,,,,,,,32.886110,131.776110,,parcial,sí,marketplace,,2553
tabechoku-26949,さとやま農園,Ōita-shi,Frutos secos,"落花生, 栗",,Produces peanuts and chestnuts at its Ōita-shi unit.,,,,,,,,33.239560,131.609360,,parcial,sí,marketplace,,1516
tabechoku-20918,安心院ソーセージ 宇佐ジビエファクトリー,Usa,Carne,ジビエ,,Produces game meat at its Usa unit.,,,,,,,,33.532000,131.349470,,parcial,sí,marketplace,,2361
tabechoku-3077214,まくファーム,Beppu,Té e infusiones,にんにく,,Produces garlic at its Beppu unit.,,,,,,,,33.285830,131.452780,,parcial,sí,marketplace,,1627
tabechoku-21039,油花,Bungotakada,Aceite,,,Produces culinary oils at its Bungotakada unit.,,,,,,,,33.556220,131.446970,,parcial,sí,marketplace,,2861
tabechoku-27467,平和農園,Yufu,Pan y cereal,,,Produces grain products at its Yufu unit.,,,,,,,,33.180080,131.426780,,parcial,sí,marketplace,,2486
tabechoku-23192,自然栽培米 月日(つきひ),Bungotakada,Pan y cereal,米,,Produces rice at its Bungotakada unit.,,,,,,,,33.556220,131.446970,,parcial,sí,marketplace,,3079
tabechoku-3079039,栗秋農園,Hita,Frutos secos,スイカ,,Produces watermelons at its Hita unit.,,,,,,,,33.321310,130.941140,,parcial,sí,marketplace,,2693
tabechoku-28400,オノ農場,Usuki,Frutos secos,,,Produces nuts at its Usuki unit.,,,,,,,,33.126110,131.805250,,parcial,sí,marketplace,,1732
tabechoku-22120,Baji西洋野菜研究所,Ōita-shi,Fruta y verdura,野菜,,Produces vegetables at its Ōita-shi unit.,,,,,,,,33.239560,131.609360,,parcial,sí,marketplace,,99
tabechoku-23066,雪乃屋,Usa,Pan y cereal,大豆,,Produces soybeans at its Usa unit.,,,,,,,,33.532000,131.349470,,parcial,sí,marketplace,,3279
tabechoku-24965,おもとの丘ファーム,Usa,Fruta y verdura,,,Produces fruit and vegetables at its Usa unit.,,,,,,,,33.532000,131.349470,,parcial,sí,marketplace,,1461
tabechoku-23949,やーやまや,Kitsuki,Fruta y verdura,野菜,,Produces vegetables at its Kitsuki unit.,,,,,,,,33.417000,131.616140,,parcial,sí,marketplace,,1683
tabechoku-25034,アトリエ天使のバラ,Kitsuki,Fruta y verdura,,,Produces fruit and vegetables at its Kitsuki unit.,,,,,,,,33.417000,131.616140,,parcial,sí,marketplace,,1708
tabechoku-27597,一粒万倍,Taketa,Fruta y verdura,,,Produces fruit and vegetables at its Taketa unit.,,,,,,,,32.973610,131.397780,,parcial,sí,marketplace,,2005
jp-oita-tajimaya-roho-co-f6cf1be,但馬屋老舗,竹田市,Dulces y repostería,和菓子,竹田市竹田町 40,"Produces Japanese confectionery in 竹田市, oita.",,,,http://tajimaya-roho.co.jp/,,,,32.973610,131.397780,,verificado,sí,ecommerce,,2144
jp-oita-oitakanbutu-8be9410,大分乾物,国東市,Setas,きのこ,,"Produces mushrooms in 国東市, oita.",,,,https://www.oitakanbutu.com/,,,,33.563330,131.732220,,verificado,no comprobado,,,2304
monkey-mountain,MONKEY MOUNTAIN (モンキーマウンテン),Oita,Cerveza,,府内町2-4-15,Brewery producing beer at its Oita unit.,,,,http://www.monkeybeer.co.jp/,,https://www.instagram.com/monkeymountainbeer/,,33.23956,131.60936,,parcial,no comprobado,,,788
himeshima-kurumaebi-himeshima,姫島車えび養殖,Himeshima,Pescado,Kuruma shrimp,,Farms kuruma shrimp on Himeshima.,,,,https://www.kurumaebi.jp/,,,,33.72447,131.64517,,verificado,sí,ecommerce,,2352
