slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
lucia-maria-melchiori,Lucia Maria Melchiori,Predaia,Sidra,"sidro, spremuta di mela, birra, aceto di mele","Via Santa Barbara 2, Tres","Lucia Maria Melchiori operates a productive unit in Predaia, making sidro, spremuta di mela, birra, aceto di mele.",,+390463468125,info@luciamaria.it,https://luciamaria.it/,,,,46.3186444,11.0962752,,verificado,no comprobado,,Bebidas sin alcohol|Cerveza|Condimentos,2525,en
il-leprotto-bisestile,Il Leprotto Bisestile,Altopiano della Vigolana,Té e infusiones,"tisane, sali aromatici, creme gastronomiche, ortaggi, uova","Via Castagnè 12, Bosentino","Il Leprotto Bisestile operates a productive unit in Altopiano della Vigolana, making tisane, sali aromatici, creme gastronomiche, ortaggi, uova.",,+393332192999,info@illeprottobisestile.com,https://illeprottobisestile.com/,,,,46.0124025,11.2284779,,verificado,no comprobado,,Condimentos|Conservas|Fruta y verdura|Huevos|Legumbres y cereales,2133,en
copag-trentino,COPAG Trentino,Comano Terme,Fruta y verdura,"patate, mele, ciliegie","Frazione Dasindo, Via G. Prati 1","COPAG Trentino operates a productive unit in Comano Terme, making patate, mele, ciliegie.",,+390465701793,info@copagtrentino.it,https://www.copagtrentino.it/,,,https://www.google.com/maps/search/?api=1&query=COPAG%20Trentino%2C%20Frazione%20Dasindo%2C%20Via%20G.%20Prati%201&query_place_id=ChIJ4eooPK9rgkcRYACefrNxdzk,46.01594796238264,10.855278376656786,,verificado,no comprobado,,,1605,en
oliocru,OlioCRU,Riva del Garda,Aceite,olio extravergine di oliva Garda Trentino DOP,Via Maso Belli 1/B,"OlioCRU operates a productive unit in Riva del Garda, making olio extravergine di oliva Garda Trentino DOP.",,+390464715344,info@oliocru.it,https://oliocru.it/,,,,45.8867027,10.8556412,,verificado,sí,ecommerce,,2712,en
caseificio-sociale-sabbionara,Caseificio Sociale di Sabbionara,Avio,Lácteos y quesos,"Trentingrana, caciotte alle noci, rucola, erba cipollina e peperoncino","Via Morielle 40/A, 38063 Avio TN",Cooperativa agricola che trasforma il latte dei soci in Trentingrana e caciotte aromatizzate.,,,,https://www.tastetrentino.it/produttori/caseificio-sociale-di-sabbionara,,,,45.73396,10.93938,,parcial,no comprobado,,,1414,en
latteria-sociale-castelfondo,Latteria Sociale di Castelfondo,Borgo d'Anaunia,Lácteos y quesos,"Trentingrana, formaggi freschi e stagionati, mozzarella","Via Dante Alighieri 30, Castelfondo, 38013 Borgo d'Anaunia TN",Latteria cooperativa che trasforma quotidianamente il latte dei soci in formaggi di montagna.,,+390463889134,info@latteriacastelfondo.it,https://www.latteriacastelfondo.it/,,,,46.43885,11.13733,,parcial,no comprobado,,,2392,en
latteria-sociale-fondo,Latteria Sociale di Fondo,Borgo d'Anaunia,Lácteos y quesos,"Trentingrana, formaggi nostrani freschi e stagionati","Via IV Novembre 70, Fondo, 38013 Borgo d'Anaunia TN",Caseificio cooperativo con produzione propria di Trentingrana e formaggi tipici della Val di Non.,,+390463831294,info@latteriasocialefondo.it,https://www.latteriasocialefondo.it/,,,,46.43885,11.13733,,parcial,no comprobado,,,2396,en
casearia-monti-trentini,Casearia Monti Trentini,Grigno,Lácteos y quesos,"Asiago DOP, Grana Padano DOP, Trentingrana e formaggi di montagna","Zona Industriale 1, 38055 Grigno TN",Caseificio trentino che produce e stagiona formaggi DOP e specialità di montagna.,,,,https://www.montitrentini.com/,,,,46.01601,11.63379,,parcial,no comprobado,,,916,en
caseificio-vezzena,Caseificio degli Altipiani e del Vezzena,Lavarone,Lácteos y quesos,"Vezzena di Lavarone, Monte Cornetto, caciotte, caprino, tosella e ricotta","Via Marconi 5, 38046 Lavarone TN",Cooperativa degli allevatori degli Altipiani che produce Vezzena e altri formaggi con latte locale.,,+390464783106,info@caseificiovezzena.it,https://www.caseificiovezzena.it/,,,,45.93333,11.26667,,parcial,sí,ecommerce,,1061,en
caseificio-presanella-mezzana-rumo,Caseificio Presanella Mezzana Rumo,Mezzana,Lácteos y quesos,"Trentingrana, Casolèt, Nostrano, Blu Trentino, ricotta e burro","Via Quirino Bezzi 1, 38020 Mezzana TN",Cooperativa che raccoglie latte dell'Alta Val di Sole e di Rumo e lo trasforma nelle unità di Mezzana e Rumo.,,,,https://www.tastetrentino.it/produttori/caseificio-presanella-mezzana-rumo,,,,46.31667,10.8,,parcial,no comprobado,,,1310,en
caseificio-sociale-primiero,Caseificio Sociale di Primiero,Mezzano,Lácteos y quesos,"Trentingrana, Tosèla, Primiero e Botìro di Primiero di Malga","Via Roma 179, 38050 Mezzano TN",Caseificio cooperativo che produce formaggi del Primiero e l'esclusivo Botìro di Primiero di Malga.,,,,https://www.caseificioprimiero.com/,,,,46.15393,11.80876,,parcial,sí,ecommerce,,1411,en
caseificio-carpano,Caseificio Carpano,Moena,Lácteos y quesos,Puzzone di Moena DOP e formaggi della Val di Fassa,"Strada de la Marcialonga 34, 38035 Moena TN",Caseificio della Val di Fassa riconosciuto tra i produttori del Puzzone di Moena DOP.,,+390437599454,info@carpanoshop.com,https://www.carpanoshop.com/,,,,46.37683,11.65935,,parcial,sí,ecommerce,,1005,en
caseificio-sociale-coredo,Caseificio Sociale di Coredo,Predaia,Lácteos y quesos,"Trentingrana, Predaia, Due Laghi, Saor de Mont e formaggi erborinati","Via San Romedio 21, Coredo, 38012 Predaia TN",Cooperativa che trasforma il latte dell'altopiano della Predaia e gestisce anche il punto vendita di Tuenno.,,+390463536231,info@caseificiocoredo.it,https://www.caseificiocoredo.it/,,,,46.30194,11.08048,,parcial,no comprobado,,,1405,en
caseificio-predazzo-moena,Caseificio Sociale di Predazzo e Moena,Predazzo,Lácteos y quesos,"Puzzone di Moena DOP, Trentingrana e formaggi della Val di Fiemme","Via Fiamme Gialle 48, 38037 Predazzo TN",Storico caseificio cooperativo e produttore del Puzzone di Moena DOP con latte delle Dolomiti.,,,,https://www.caseificiopredazzo.it/,,,,46.31667,11.6,,parcial,sí,ecommerce,,1410,en
azienda-agricola-ruatti,Azienda Agricola Ruatti Giovanni,Rabbi,Lácteos y quesos,"formaggi, latticini, salumi, frutta e verdura","Frazione Pracorno 95/A, 38020 Rabbi TN",Azienda zootecnica che trasforma artigianalmente i propri prodotti in formaggi latticini e salumi.,,+390463901070,agritur.ruatti@gmail.com,https://www.agriturruatti.it/,,,,46.4,10.85,,parcial,no comprobado,,Carne|Fruta y verdura,445,en
caseificio-alta-val-di-non,Caseificio Sociale Alta Val di Non,Romeno,Lácteos y quesos,Trentingrana e formaggi della Val di Non,"Via alla Piena 62, 38010 Romeno TN",Caseificio cooperativo degli allevatori dell'Alta Val di Non che trasforma latte di montagna.,,,,https://www.formaggideltrentino.it/it/store-locator/caseificio-sociale-alta-val-di-non,,,,46.4,11.11667,,parcial,no comprobado,,,1381,en
caseificio-cercen,Caseificio Comprensoriale Cercen,Terzolas,Lácteos y quesos,"Trentingrana, Casolèt, Nostrano Stavel, Camocina e ricotta","Via Nazionale 52, 38027 Terzolas TN",Cooperativa della bassa Val di Sole che trasforma il latte degli allevatori in Trentingrana e formaggi locali.,,+390463900029,info@caseificiocercen.it,https://www.caseificiocercen.it/,,,,46.36131,10.92611,,parcial,no comprobado,,,1028,en
caseificio-val-di-fassa,Caseificio Sociale Val di Fassa,San Giovanni di Fassa,Lácteos y quesos,"Cuor di Fassa, Puzzone di Moena DOP, Dolomiti, Vajolet e Trentingrana","Strada Dolomites 233, Pera, 38036 San Giovanni di Fassa TN",Caseificio cooperativo che lavora esclusivamente latte della Val di Fassa con metodi artigianali.,,+390462764076,caseificiovaldifassa@gmail.com,https://www.caseificiovaldifassa.it/,,,,46.43026,11.6868,,parcial,sí,ecommerce,,1442,en
caseificio-val-di-fiemme,Caseificio Sociale Val di Fiemme,Ville di Fiemme,Lácteos y quesos,"Formae Val di Fiemme, Caprino di Cavalese, Fontal, Trentingrana e ricotta","Via Nazionale 8, Carano, 38099 Ville di Fiemme TN",Caseificio dei soci allevatori della Val di Fiemme che produce formaggi vaccini e caprini.,,+390462340284,info@cascavalese.it,https://www.cascavalese.it/,,,,46.3007,11.4478,,parcial,sí,ecommerce,,1443,en
maso-stablum,Maso Stablum,Vermiglio,Lácteos y quesos,"formaggi vaccini, ricotta e prodotti del maso","Via Prada 11/1, 38029 Vermiglio TN",Azienda agricola biologica con caseificio aziendale autorizzato per la trasformazione del latte.,,,,https://www.masostablum.it/,,,,46.3,10.68333,,parcial,no comprobado,,,2576,en
latte-trento,Latte Trento,Trento,Lácteos y quesos,"latte, yogurt, burro, Trentingrana e formaggi trentini","Viale Verona 129, 38123 Trento TN",Cooperativa dei produttori di latte delle valli trentine con più stabilimenti provinciali riconciliati sotto una sola identità pubblica.,,,,https://www.lattetrento.it/,,,,46.06667,11.11667,,parcial,no comprobado,,,2300,en
azienda-agricola-al-pont,Azienda Agricola Al Pont,Giustino,Lácteos y quesos,formaggi vaccini e caprini,"Via al Pont 4, 38086 Giustino TN",Azienda agricola biologica con caseificio aziendale per formaggi di latte vaccino e caprino.,,,,https://www.tastetrentino.it/produttori,,,,46.14996,10.76801,,parcial,no comprobado,,,261,en
fattoria-antica-rendena,Fattoria Antica Rendena,Giustino,Lácteos y quesos,formaggi della Val Rendena,"Via alla Sega 2, 38086 Giustino TN",Fattoria e caseificio della Val Rendena che trasforma latte nella propria unità di Giustino.,,,,https://www.fattoriaanticarendena.it/,,,,46.14996,10.76801,,parcial,no comprobado,,,1732,en
birra-impavida,Birra Impavida,Arco,Cerveza,birra artigianale,"Via della Croseta 4, 38062 Arco TN",Birrificio indipendente di Arco che produce e vende birra artigianale.,,,,https://www.birraimpavida.com/,,,,45.91667,10.88333,,parcial,sí,ecommerce,,576,en
birrificio-5-piu,Birrificio 5+,Trento,Cerveza,birra artigianale,"Via del Commercio 21, 38121 Trento TN",Birrificio artigianale trentino con produzione propria.,,,,https://5piu.com/,,,,46.06667,11.11667,,parcial,no comprobado,,,583,en
pojer-e-sandri,Pojer e Sandri,San Michele all'Adige,Vino,"vini trentini, spumanti, grappe e aceti","Località Molini 4, Faedo, 38098 San Michele all'Adige TN",Azienda agricola e cantina di Faedo che produce vini spumanti distillati e aceti.,,,,https://www.pojeresandri.com/,,,,46.1938,11.1346,,parcial,sí,ecommerce,Destilados y licores|Condimentos,2989,en
comai-azienda-agricola,Comai Azienda Agricola,Riva del Garda,Aceite,olio extravergine di oliva Garda Trentino e vino,"Via di San Cassiano 9, 38066 Riva del Garda TN",Azienda agricola biologica del Garda Trentino che coltiva olivi e vigneti e trasforma i propri prodotti.,,,,https://www.tastetrentino.it/produttori/comai-azienda-agricola,,,,45.88333,10.85,,parcial,no comprobado,,Vino,1558,en
dr-schaer-borgo-valsugana,Dr. Schär — stabilimento di Borgo Valsugana,Borgo Valsugana,Comida preparada,"primi piatti surgelati, pasta ripiena, pizza e pane senza glutine","Via Puisle 31, 38051 Borgo Valsugana TN",Stabilimento alimentare che produce piatti pronti surgelati pasta ripiena pizza e pane senza glutine.,,+390461758500,,https://www.drschaer.com/it/chi-siamo/sedi/stabilimento-produttivo-e-sede-amministrativa-borgo-valsugana,,,,46.05,11.45,,parcial,no comprobado,,Pan y cereal,1688,en
bologna-service,Bologna Service,Mori,Helados,"gelati, dessert, torte e semifreddi","Via Garibaldi 11, 38065 Mori TN",Laboratorio produttivo di gelateria e pasticceria che realizza gelati dessert torte e semifreddi.,,+390464910771,info@bsgelati.it,https://www.bsgelati.it/,,,,45.8513,10.9817,,parcial,no comprobado,,Dulces y repostería,666,en
caseificio-abbasciano,Caseificio Abbasciano,Trento,Lácteos y quesos,"mozzarella, burrata, stracciatella, ricotta, scamorza e tosella","Via Alto Adige 40, 38121 Trento TN",Caseificio artigianale attivo dal 1957 che produce latticini freschi formaggi e specialità affumicate.,,+390461990183,info@abbasciano.it,https://www.abbasciano.it/,,,,46.06667,11.11667,,parcial,no comprobado,,,924,en
prodotti-gastronomici-trentini,Prodotti Gastronomici Trentini di Mario Masè,Spiazzo,Carne,"salametti di selvaggina, paté di speck, orzotti, salse e sali aromatizzati","Frazione Borzago 55/A, 38088 Spiazzo TN",Laboratorio artigianale che produce salumi di selvaggina paté preparati trentini salse e condimenti.,,+390465804431,info@labottegadelfra.com,https://labottegadelfra.com/,,,,46.1036,10.73937,,parcial,sí,ecommerce,Comida preparada|Condimentos,3000,en
arborea-rovere-della-luna,Arborea — stabilimento di Roverè della Luna,Roverè della Luna,Lácteos y quesos,yogurt,"Via dell'Adige Vecchio 15, 38030 Roverè della Luna TN",Stabilimento della cooperativa Arborea specializzato esclusivamente nella produzione di yogurt.,,,,https://www.arborea1956.com/,,,,46.25,11.16667,,parcial,no comprobado,,,212,en
gelati-dolomiti,Gelati Dolomiti,Soraga di Fassa,Helados,gelati,"Strada de Molin 15, 38030 Soraga di Fassa TN",Laboratorio autorizzato per la produzione di gelati con attività pubblica corrente a Soraga di Fassa.,,+390462768424,,,,,,46.39593,11.66822,,parcial,no comprobado,,,2006,en
dalla-torre-dorotea,Dalla Torre Dorotea,Ville d'Anaunia,Lácteos y quesos,"burro di centrifuga, burro biologico, burro senza lattosio e burro salato","Via de San Gioan 5, Rallo, 38019 Ville d'Anaunia TN",Burrificio della Val di Non che dal 1935 produce esclusivamente burro in diverse linee e formati.,,+390463451501,info@dallatorrevaldinon.it,https://www.dallatorrevaldinon.it/,,,,46.31667,11.05,,parcial,sí,ecommerce,,1638,en
maso-pan,Maso Pan di Mauro Polla,Caderzone Terme,Lácteos y quesos,"formaggi biologici di razza Rendena, burro, yogurt e latte","Località Pan 1, 38080 Caderzone Terme TN",Azienda agricola biologica che trasforma il latte delle proprie vacche Rendena nel caseificio accanto alla stalla.,,+390465804500,info@agriturmasopan.it,https://www.agriturmasopan.it/,,,,46.13333,10.75,,parcial,no comprobado,,Carne,2574,en
azienda-agricola-mora,Azienda Agricola Mora Giuliano,Ledro,Lácteos y quesos,"formaggi caprini freschi e stagionati, ricotta, yogurt e formaggi speziati","Località Val Molini, Bezzecca, 38067 Ledro TN",Azienda familiare con allevamento caprino e caseificio aziendale che trasforma il proprio latte.,,+393409034136,,https://www.gardatrentino.it/it/info/azienda-agricola-mora_32333,,,,45.88333,10.73333,,parcial,no comprobado,,Huevos,419,en
don-diego-gelati,Don Diego Gelati,Pergine Valsugana,Helados,"gelati, semifreddi, tranci e monoporzioni","Via degli Artigiani 3/B, Cirè, 38057 Pergine Valsugana TN",Laboratorio DIAN che produce e distribuisce gelati e semifreddi con la marca Don Diego.,,+390461531791,info@dondiegogelati.it,https://dondiegogelati.it/,,,,46.06667,11.23333,,parcial,no comprobado,,Dulces y repostería,1683,en
caseificio-catinaccio,Caseificio Sociale Catinaccio,San Giovanni di Fassa,Lácteos y quesos,"Il Fassano, Laurin, caciotte, formaggi alle erbe, yogurt e Puzzone di Moena DOP","Strada de Larjè 15, Vigo di Fassa, 38036 San Giovanni di Fassa TN",Piccola cooperativa di allevatori che trasforma latte crudo della Val di Fassa in formaggi e yogurt.,,+393206867156,,https://www.fassa.com/de/dienstleistungen/caseificio-sociale-catinaccio-il-fassano-l-fassan,,,,46.43026,11.6868,,parcial,no comprobado,,,1396,en
malga-spina,Malga Spina,Storo,Lácteos y quesos,formaggi di malga,"Località Spina, 38089 Storo TN",Malga da latte estiva dove viene lavorato il latte delle malghe vicine e venduto formaggio prodotto sul posto.,,+393402211350,,https://www.visittrentino.info/it/gusto/malghe/malga-spina_md_111674194,,,,45.84889,10.58028,,parcial,no comprobado,,,2544,en
anna-piazzola,Anna Piazzola,Rabbi,Lácteos y quesos,Casòlet della Val di Sole Rabbi e Peio,"Frazione San Bernardo 37/B, 38020 Rabbi TN",Piccola produttrice del Presidio Slow Food Casòlet a latte crudo con caseificio aziendale autorizzato.,,+393343914828,,https://www.parks.it/parco.nazionale.stelvio/Edettaglio_azienda.php?id_aziende=13673,,,,46.4,10.85,,parcial,no comprobado,,,160,en
azienda-agricola-manfredi-fabio,Azienda Agricola Manfredi Fabio,Mori,Lácteos y quesos,formaggi biologici e salumi,"Frazione Sano 51, 38065 Mori TN",Azienda agricola biologica con allevamento e laboratorio autorizzato per la trasformazione lattiero-casearia.,,+390464917196,,,,,,45.8513,10.9817,,parcial,no comprobado,,Carne,406,en
azienda-agricola-ivo-gelmini,Azienda Agricola Ivo Gelmini,Mori,Fruta y verdura,"crauti, creme vegetali, ortaggi sott'olio, passate, salse e bevande","Piazza San Felice 7, Valle San Felice, 38065 Mori TN",Azienda biologica della Val di Gresta che coltiva ortaggi e li trasforma nel proprio laboratorio in conserve fermentati e bevande.,,+390464665876,info@valdegresta.it,https://www.gelminivaldigresta.com/,,,,45.8513,10.9817,,parcial,no comprobado,,Conservas|Condimentos|Bebidas sin alcohol,375,en
bio-agritur-trajeri,Bio Agritur Trajeri,Fai della Paganella,Fruta y verdura,"ortaggi, confetture, composte, mostarde, succhi e dado vegetale","Via ai Dossi 30, 38010 Fai della Paganella TN",Azienda agricola biologica familiare che coltiva frutta e ortaggi e li trasforma in conserve succhi mostarde e dado vegetale.,,+390461416467,,https://www.bioagriturtrajeri.it/,,,,46.18333,11.06667,,parcial,no comprobado,,Conservas|Condimentos|Bebidas sin alcohol,547,en
en-galavra,En Galavra,Comano Terme,Fruta y verdura,"patate, ortaggi, cereali, noci e uova","Frazione Godenzo 44/C, 38077 Comano Terme TN",Azienda agricola biologica e fattoria didattica che coltiva ortaggi cereali e noci e alleva galline.,,+393347651168,info@fattoriadidatticaengalavra.com,https://www.fattoriadidatticaengalavra.com/,,,,46.05634,10.86521,,parcial,no comprobado,,Pan y cereal|Frutos secos|Huevos,1702,en
maso-pertica,Maso Pertica,Castello-Molina di Fiemme,Lácteos y quesos,"formaggi, latte, yogurt, uova, carne e salumi","Via Stazione 9, 38030 Castello-Molina di Fiemme TN",Azienda agricola di Marina Bonelli che alleva bestiame produce formaggi e propone gli altri prodotti del maso.,,+390462232370,info@masopertica.it,https://www.masopertica.it/,,,,46.27208,11.4172,,parcial,no comprobado,,Carne|Huevos|Fruta y verdura,2575,en
azienda-agricola-la-quadra,Azienda Agricola La Quadra,Drena,Lácteos y quesos,"formaggi, yogurt, salumi, succo di mela, confetture e frutta di stagione","Via Giovanni Segantini 16, 38074 Drena TN",Azienda familiare con produzione propria e vendita diretta di latticini salumi frutta succhi e confetture.,,+393476854168,laquadra.bortolotti@gmail.com,https://bortolottilaquadra.it/,,,,45.96667,10.95,,parcial,no comprobado,,Carne|Fruta y verdura|Conservas|Bebidas sin alcohol,383,en
i-druper-coffee,I Druper Coffee,Terre d'Adige,Café,"Café en grano, espresso y filtro",,Microtorrefazione de montaña y academia SCA fundada por Irene Coslop y Raimondo Morreale con taller de tueste en Terre d'Adige.,,+3904611863574,info@idrupercoffee.com,https://www.idrupercoffee.com/,,https://www.instagram.com/idrupercoffee/,,46.15161,11.09722,,verificado,no comprobado,,,2076,en
omkafe,Omkafè,Arco,Café,"Café en grano, espresso y filtro","Via Aldo Moro, 7 38062 Arco",Torrefazione artesana familiar activa desde 1947 con planta de tueste en tambor y museo del café en Arco.,,+390464552761,,https://www.omkafe.com/it,,https://www.instagram.com/omkafe/,,45.9069711,10.8770316,,verificado,no comprobado,,,2715,en
caffe-bontadi-1790,Caffè Bontadi 1790,Rovereto,Café,"Café en grano, espresso y filtro",,La torrefactora artesanal más antigua de Italia (1790) con taller de tueste continuo y museo en Rovereto.,,+390464421110,info@bontadi.it,https://www.bontadi.it/it/,,https://www.instagram.com/caffebontadi/,,45.88333,11.03417,,verificado,no comprobado,,,741,en
alpberries,AlpBerries,Altopiano della Vigolana,Fruta y verdura,"mirtilli, lamponi, more, ortaggi biologici","Via Nogarole 6, 38049 Altopiano della Vigolana TN",Organic farm in Altopiano della Vigolana growing berries and vegetables and transforming its crops in its own laboratory.,,+393409962913,alpberries@gmail.com,https://www.alpberries.it/,,https://www.instagram.com/alpberries/,,,,,parcial,no comprobado,,Conservas|Bebidas sin alcohol,3472,en
berry-farm,Berry Farm,Peio,Fruta y verdura,"lamponi, mirtilli, fragole, ortaggi biologici","Via G. Casarotti 52, Cogolo, 38024 Peio TN","Organic Val di Sole farm growing berries and mountain vegetables and producing preserves, syrups, infusions and honey.",,+393336238830,fruttadimontagna@gmail.com,https://www.berryfarm.it/,,https://www.instagram.com/berry_farm_val_di_sole/,,,,,parcial,sí,ecommerce,Miel|Conservas|Bebidas sin alcohol|Té e infusiones,3473,en
