nombre,pais,pais_codigo,region,region_codigo,municipio,categoria,productos,direccion,horario,telefono,correo,web,facebook,instagram,google_maps,lat,lon,osm_id,fuente_url,fecha_extraccion,verificacion,venta_online
Weingut Höfflin,Alemania,DE,Baden-Württemberg,DE-BW,Bötzingen,Vino,Wein,"Schambachhof 4, 79268 Bötzingen","Mo-We 08:30-12:00;Th-Fr 14:00-17:00;Sa 10:00-16:00;Su,PH off",+4976631474,info@weingut-hoefflin.de,https://www.weingut-hoefflin.de/,,,"https://www.google.com/maps?q=48.081249,7.710448",48.081249,7.710448,node/7680725841,https://www.openstreetmap.org/node/7680725841,2026-08-05,parcial,no comprobado
HelDenHofladen,Alemania,DE,Baden-Württemberg,DE-BW,Edingen-Neckarhausen,Huevos,Eier,"Grenzhöfer Straße 30, 68535 Edingen-Neckarhausen","Mo-Fr 09:00-12:30; Th,Fr15:00-18:00; Sa 08:30-12:30",+49620385635,info@heldenhof.de,https://www.heldenhof.de,,,"https://www.google.com/maps?q=49.444872,8.611436",49.444872,8.611436,node/2426508183,https://www.openstreetmap.org/node/2426508183,2026-08-05,parcial,no comprobado
Imkerei Honigmann,Alemania,DE,Baden-Württemberg,DE-BW,Endingen am Kaiserstuhl,Miel,Honig,"Seilnachtstraße 20, 79346 Endingen am Kaiserstuhl",Mo-Fr 17:00-19:00,+491712154422,konrettich@web.de,https://heimathonig.de/imker/konrad-czapiewski,,,"https://www.google.com/maps?q=48.145025,7.705641",48.145025,7.705641,node/12898210988,https://www.openstreetmap.org/node/12898210988,2026-08-05,parcial,no comprobado
Martinas Marktschiirä,Alemania,DE,Baden-Württemberg,DE-BW,Endingen am Kaiserstuhl,Vino,Wein,"Röstehof 2, 79346 Endingen am Kaiserstuhl","""nach Vereinbarung""",+4976425525,mail@winzerhof-linder.de,https://winzerhof-linder.de/marktschiira,,,"https://www.google.com/maps?q=48.133072,7.708776",48.133072,7.708776,node/6743931676,https://www.openstreetmap.org/node/6743931676,2026-08-05,parcial,no comprobado
Hofladen Hedwigshof,Alemania,DE,Baden-Württemberg,DE-BW,Ettlingen,Huevos,Eier,"Durlacher Straße 36, 76275 Ettlingen",Th 15:00-18:00; Fr 11:00-18:00; Sa 09:00-12:00,+49724316982,info@hedwigshof.de,http://www.hedwigshof.de/,,,"https://www.google.com/maps?q=48.957997,8.430673",48.957997,8.430673,node/4186995805,https://www.openstreetmap.org/node/4186995805,2026-08-05,parcial,no comprobado
Bio-Hofkäserei Roser,Alemania,DE,Baden-Württemberg,DE-BW,Freiamt,Lácteos y quesos,Käse und Milchprodukte,"Auf der Eck 2, Freiamt","We,Th 09:00-12:00; Fr,Sa 15:00-18:00; Mo,Tu,PH off",+4976451753,info@bio-hofkaeserei-roser.de,https://www.bio-hofkaeserei-roser.de/,,,"https://www.google.com/maps?q=48.172009,7.898670",48.172009,7.898670,way/414511081,https://www.openstreetmap.org/way/414511081,2026-08-05,parcial,no comprobado
Pomme Jardin,Alemania,DE,Baden-Württemberg,DE-BW,Gingen an der Fils,Sidra,Apfelwein und Cider,"Mühlgasse 1, 73333 Gingen an der Fils","open ""Verkauf nach Rücksprache""",+4971623051066,info@pomme-jardin.de,http://www.pomme-jardin.de,,,"https://www.google.com/maps?q=48.656208,9.780127",48.656208,9.780127,way/542887481,https://www.openstreetmap.org/way/542887481,2026-08-05,parcial,no comprobado
Bauhofer Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Grundsheim,Pan y cereal,Brot und Getreide,"Mühlstraße 9, 89613 Grundsheim","Mo-Fr 08:00-12:00, 13:00-17:00",+49735791253,info@bauhofer-muehle.de,https://bauhofer-muehle.de/,,,"https://www.google.com/maps?q=48.176840,9.663762",48.176840,9.663762,node/13234218033,https://www.openstreetmap.org/node/13234218033,2026-08-05,parcial,no comprobado
Bioland-Gärtnerei Wiesenäcker,Alemania,DE,Baden-Württemberg,DE-BW,Heidelberg,Fruta y verdura,Obst und Gemüse,"Gewann Schläuchen 4, 69121 Heidelberg","Tu,Fr 10:00-12:00,15:00-18:30; PH off",+496221419164,gaertnerei@biogemuese-heidelberg.de,https://www.biogemuese-heidelberg.de/,,,"https://www.google.com/maps?q=49.430639,8.666270",49.430639,8.666270,way/163807737,https://www.openstreetmap.org/way/163807737,2026-08-05,parcial,no comprobado
Hofladen Lenz,Alemania,DE,Baden-Württemberg,DE-BW,Heidelberg,Fruta y verdura,Obst und Gemüse,"Gewann Fischpfad 4, 69121 Heidelberg",Mo-Fr 09:00-18:00; Sa 09:00-13:00,+496221402847,gerhard.lenz@arcor.de,https://gärtnerei-lenz.de/hofladen/,,,"https://www.google.com/maps?q=49.431790,8.672446",49.431790,8.672446,node/3866255557,https://www.openstreetmap.org/node/3866255557,2026-08-05,parcial,no comprobado
Gültsteiner Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Herrenberg,Pan y cereal,Brot und Getreide,"Nebringer Straße 2, 71083 Herrenberg","Mo-Tu,Th-Sa 09:30-12:00; Mo-Tu,Th-Fr 15:00-17:30",+497032992425,info@muehle-unsoeld.de,https://www.muehle-unsoeld.de,,,"https://www.google.com/maps?q=48.571365,8.876097",48.571365,8.876097,way/99621163,https://www.openstreetmap.org/way/99621163,2026-08-05,parcial,no comprobado
Hampp-Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Illerkirchberg,Pan y cereal,Brot und Getreide,"Weihungstraße 18, 89171 Illerkirchberg","Mo, We, Sa 08:00-12:30; Tu, Th, Fr 08:00-12:30, 15:00-18:00",+49734638,georg.remmele@gmx.de,http://www.hamppmuehle-illerkirchberg.de/,,,"https://www.google.com/maps?q=48.336080,10.001044",48.336080,10.001044,node/7326411086,https://www.openstreetmap.org/node/7326411086,2026-08-05,parcial,no comprobado
Bio-Hofladen Schleinkofer,Alemania,DE,Baden-Württemberg,DE-BW,Karlsruhe,Lácteos y quesos,Käse und Milchprodukte,"Gewann Amtmännenwiese 3, 76199 Karlsruhe","Th 16:00-19:00; Fr 10:00-13:00,16:00-19:00; Sa 10:00-13:00; Su,PH off",+4972198929259,kontakt@hofgut-schleinkofer.de,https://www.hofgut-schleinkofer.de/,,,"https://www.google.com/maps?q=48.965745,8.387662",48.965745,8.387662,node/4186995804,https://www.openstreetmap.org/node/4186995804,2026-08-05,parcial,no comprobado
Mühle Beck,Alemania,DE,Baden-Württemberg,DE-BW,Keltern,Pan y cereal,Brot und Getreide,"Kirchstraße 6, 75210 Keltern","Mo-Fr 08:00-12:30,13:30-18:00; Sa 08:00-12:30",+497236980694,info@muehle-beck.de,https://www.muehle-beck.de/,,,"https://www.google.com/maps?q=48.888049,8.546013",48.888049,8.546013,node/3503556481,https://www.openstreetmap.org/node/3503556481,2026-08-05,parcial,no comprobado
Hof Gasswies,Alemania,DE,Baden-Württemberg,DE-BW,Klettgau,Carne,Fleisch und Wurst,"Wutöschinger Straße 4, 79771 Klettgau",,+497742919238,info@hof-gasswies.de,https://hof-gasswies.de,,,"https://www.google.com/maps?q=47.649070,8.405174",47.649070,8.405174,node/5972597829,https://www.openstreetmap.org/node/5972597829,2026-08-05,parcial,no comprobado
Der Honig Krieger,Alemania,DE,Baden-Württemberg,DE-BW,Laudenbach,Miel,Honig,"Schießmauerstraße 9, 69514 Laudenbach",24/7,+4915753671537,info@derhonigkrieger.de,https://derhonigkrieger.de,,,"https://www.google.com/maps?q=49.609039,8.650431",49.609039,8.650431,node/12104697833,https://www.openstreetmap.org/node/12104697833,2026-08-05,parcial,no comprobado
Bohner's Hofladen,Alemania,DE,Baden-Württemberg,DE-BW,Mengen,Miel,Honig,"Lohbachstraße 100, 88512 Mengen",Mo-Su 08:00-20:30,+497576356,info@bohner-rulfingen.de,https://www.bohner-rulfingen.de,,,"https://www.google.com/maps?q=48.032132,9.293880",48.032132,9.293880,way/255578983,https://www.openstreetmap.org/way/255578983,2026-08-05,parcial,no comprobado
Neher's Wiesenlädele,Alemania,DE,Baden-Württemberg,DE-BW,Mengen,Cerveza,Bier,"Granheim 2, 88512 Mengen",24/7,+497572714915,info@ferienhof-neher.de,https://www.ferienhof-neher.de,,,"https://www.google.com/maps?q=48.025068,9.341640",48.025068,9.341640,node/9105149006,https://www.openstreetmap.org/node/9105149006,2026-08-05,parcial,no comprobado
Eier- und Nudelhütte,Alemania,DE,Baden-Württemberg,DE-BW,Meßkirch,Huevos,Eier,"Deponiestraße, 88605 Meßkirch",24/7,+4975752618,info@huehnerhof-scheck.de,https://www.huehnerhof-scheck.de,,,"https://www.google.com/maps?q=47.995739,9.179918",47.995739,9.179918,node/8124866196,https://www.openstreetmap.org/node/8124866196,2026-08-05,parcial,no comprobado
Dom-Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Munderkingen,Pan y cereal,Brot und Getreide,"Algershofer Weg 4, 89597 Munderkingen","Mo-Th 09:00-12:00, 14:00-17:00; Fr 09:00-12:00",+4973931305,info@dom-muehle.de,https://www.dom-muehle.de/,,,"https://www.google.com/maps?q=48.232277,9.640886",48.232277,9.640886,node/13234217943,https://www.openstreetmap.org/node/13234217943,2026-08-05,parcial,no comprobado
Aazheimerhof,Alemania,DE,Baden-Württemberg,DE-BW,Neuhausen,Pan y cereal,Brot und Getreide,"Aazheimerhof, 8212 Neuhausen",24/7,+41526727534,info@schwyn-aazheimerhof.ch,https://www.schwyn-aazheimerhof.ch/,,,"https://www.google.com/maps?q=47.671912,8.585713",47.671912,8.585713,node/9556581193,https://www.openstreetmap.org/node/9556581193,2026-08-05,parcial,no comprobado
Spargel und Melonenhof Gieser,Alemania,DE,Baden-Württemberg,DE-BW,Oftersheim,Fruta y verdura,Obst und Gemüse,"Altneurott 4, 68723 Oftersheim",Apr-Jun Mo-Su 08:00-19:00,+49620255984,info@spargelhofgieser.de,https://www.spargelhofgieser.de/,https://www.facebook.com/spargelhofgieser/,,"https://www.google.com/maps?q=49.369583,8.600022",49.369583,8.600022,way/95274080,https://www.openstreetmap.org/way/95274080,2026-08-05,parcial,no comprobado
Landbauernhof Hohreute,Alemania,DE,Baden-Württemberg,DE-BW,Owingen,Huevos,Eier,"Hohreutehof 83, 88696 Owingen",24/7,+491781707448,simon@landbauernhof.hohreute.com,https://landbauernhof.hohreute.com/,,,"https://www.google.com/maps?q=47.816245,9.172835",47.816245,9.172835,node/2328077857,https://www.openstreetmap.org/node/2328077857,2026-08-05,parcial,no comprobado
Wyyguet Rinklin,Alemania,DE,Baden-Württemberg,DE-BW,Riehen,Miel,Honig,"Eglingerweg 1, 4125 Riehen","We, Fr 16:00-19:00 ""oder nach Vereinbarung Hauslieferung""",+41616414887,wein@schlipfer.ch,http://www.schlipfer.ch,,,"https://www.google.com/maps?q=47.595615,7.647657",47.595615,7.647657,node/4700028127,https://www.openstreetmap.org/node/4700028127,2026-08-05,parcial,no comprobado
Eierhäusle,Alemania,DE,Baden-Württemberg,DE-BW,Sauldorf,Huevos,Eier,"Kirchstraße 4, 88605 Sauldorf",Mo-Su 08:00-20:00,+4975782190,kontakt@kornschnalle.de,https://www.kornschnalle.de/,,,"https://www.google.com/maps?q=47.965685,9.098909",47.965685,9.098909,way/984842599,https://www.openstreetmap.org/way/984842599,2026-08-05,parcial,no comprobado
Heckler's Eier und Kartoffelhaus,Alemania,DE,Baden-Württemberg,DE-BW,Sauldorf,Huevos,Eier,"Beckenhöfe 1, 88605 Sauldorf",Mo-Su 08:00-20:00,+497578602,info@hecklers-hofladen.de,https://www.hecklers-hofladen.de/,,,"https://www.google.com/maps?q=47.933218,9.093889",47.933218,9.093889,way/984840739,https://www.openstreetmap.org/way/984840739,2026-08-05,parcial,no comprobado
Heckler's Hofladen,Alemania,DE,Baden-Württemberg,DE-BW,Sauldorf,Miel,Honig,"Beckenhöfe 1, 88605 Sauldorf",Fr 15:00-18:00; Sa 09:00-12:00,+497578602,info@hecklers-hofladen.de,https://www.hecklers-hofladen.de/,,,"https://www.google.com/maps?q=47.932798,9.093831",47.932798,9.093831,way/984840105,https://www.openstreetmap.org/way/984840105,2026-08-05,parcial,no comprobado
Kornschnalle,Alemania,DE,Baden-Württemberg,DE-BW,Sauldorf,Huevos,Eier,"Höfeweg 14, 88605 Sauldorf",Th 10:00-12:00; Fr 12:00-18:00,+4975782190,kontakt@kornschnalle.de,https://www.kornschnalle.de/,,,"https://www.google.com/maps?q=47.941306,9.102608",47.941306,9.102608,way/984843405,https://www.openstreetmap.org/way/984843405,2026-08-05,parcial,no comprobado
Mosterei Freudigmann,Alemania,DE,Baden-Württemberg,DE-BW,Schemmerhofen,Sidra,Apfelwein und Cider,"Pflugstraße 21/1, 88433 Schemmerhofen",Di-Sa 10:00-18:00,+4973563456,mail@mosterei-freudigmann.de,https://www.mosterei-freudigmann.de/,,,"https://www.google.com/maps?q=48.174045,9.804230",48.174045,9.804230,node/13236857794,https://www.openstreetmap.org/node/13236857794,2026-08-05,parcial,no comprobado
Bio Gärtnerei Schmälzle,Alemania,DE,Baden-Württemberg,DE-BW,Sinzheim,Fruta y verdura,Obst und Gemüse,"Hofmattstraße 40, 76547 Sinzheim","Mo-Th 09:00-13:00;Fr-Su, PH off",+4972236361,bio@schmaelzle.com,https://www.schmaelzle.com/,https://www.facebook.com/demeterschmaelzle,https://www.instagram.com/demeterschmaelzle,"https://www.google.com/maps?q=48.750456,8.140893",48.750456,8.140893,node/11425367047,https://www.openstreetmap.org/node/11425367047,2026-08-05,parcial,no comprobado
Probst Obst,Alemania,DE,Baden-Württemberg,DE-BW,Tettnang,Fruta y verdura,Obst und Gemüse,"Tettnanger Straße 68, 88069 Tettnang","Mo-Fr 08:30-13:00,14:00-18:00; Sa 08:30-13:00; Su,PH off",+4975424433,info@probst-obst.de,http://www.probst-obst.de/,,,"https://www.google.com/maps?q=47.670145,9.548232",47.670145,9.548232,node/12787281051,https://www.openstreetmap.org/node/12787281051,2026-08-05,parcial,no comprobado
Dachswanger Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Umkirch,Pan y cereal,Brot und Getreide,"Dachswanger Hof 1, 79224 Umkirch",Fr 16:00-18:30; Sa 09:00-13:00,+497666940161,dachswanger.muehle@online.de,http://www.dachswangermuehle.de/,,,"https://www.google.com/maps?q=48.036751,7.737349",48.036751,7.737349,node/6379586746,https://www.openstreetmap.org/node/6379586746,2026-08-05,parcial,no comprobado
Bentel Mühle,Alemania,DE,Baden-Württemberg,DE-BW,Weissach,Pan y cereal,Brot und Getreide,"Mühlweg 10, 71287 Weissach","We,Sa 09:00-12:00; Th,Fr 09:00-12:00, 15:00-18:00; Su-Tu off",+49704433075,bentel-muehle@web.de,http://www.bentelmuehle.de/,https://www.facebook.com/bentelmuehle,,"https://www.google.com/maps?q=48.837028,8.915481",48.837028,8.915481,way/160040376,https://www.openstreetmap.org/way/160040376,2026-08-05,parcial,no comprobado
Hofladen Gebhard,Alemania,DE,Baden-Württemberg,DE-BW,Wilhelmsdorf,Huevos,Eier,"Leonhardstraße 3, 88271 Wilhelmsdorf",Fr 12:00-19:00; Sa 08:00-13:00,+4975032425,info@hofladen-gebhardt.de,http://www.hofladen-gebhardt.de,,,"https://www.google.com/maps?q=47.849926,9.431242",47.849926,9.431242,node/5661578736,https://www.openstreetmap.org/node/5661578736,2026-08-05,parcial,no comprobado
Loretto Hofladen,Alemania,DE,Baden-Württemberg,DE-BW,Zwiefalten,Huevos,Eier,"Loretto 8, 88529 Zwiefalten","Fr-Su,PH 14:00-18:00",+4973732362,info@lorettozwiefalten.de,https://www.lorettozwiefalten.de/hofladen/,,,"https://www.google.com/maps?q=48.250091,9.461305",48.250091,9.461305,node/6965830234,https://www.openstreetmap.org/node/6965830234,2026-08-05,parcial,no comprobado
Hofladen Gänger,Alemania,DE,Bayern,DE-BY,Aholfing,Otros,,"Donaustraße 38, 94345 Aholfing",Mo-Fr 08:00-18:00; Sa 08:00-13:00,+499429948590,info@spargel-gaenger.de,https://www.spargel-gaenger.de/,,https://www.instagram.com/gaenger_spargel/,"https://www.google.com/maps?q=48.921858,12.506053",48.921858,12.506053,way/849820758,https://www.openstreetmap.org/way/849820758,2026-08-05,parcial,no comprobado
Friedls Biohof,Alemania,DE,Bayern,DE-BY,Alling,Otros,,"Ammerseestraße 9, 82239 Alling",Th-Sa 09:00-18:00,+498141524899,info@friedls-biohof.de,http://www.friedls-biohof.de/,,,"https://www.google.com/maps?q=48.152652,11.257071",48.152652,11.257071,node/4776946460,https://www.openstreetmap.org/node/4776946460,2026-08-05,parcial,no comprobado
Demeter Biohof Walz,Alemania,DE,Bayern,DE-BY,Amberg,Otros,,"In der Schäflohe 4, 92224 Amberg",Fr 10:00-19:00; Sa 09:00-13:00,+499621470680,info@bio-walz.de,https://www.bio-walz.de/,,,"https://www.google.com/maps?q=49.461266,11.809304",49.461266,11.809304,node/3614921354,https://www.openstreetmap.org/node/3614921354,2026-08-05,parcial,no comprobado
Morgentau Spargel,Alemania,DE,Bayern,DE-BY,Aurachtal,Fruta y verdura,Obst und Gemüse,"Königstraße 9, 91086 Aurachtal",,+499132782610,info@morgentau.de,https://www.morgentau.de/,,,"https://www.google.com/maps?q=49.575777,10.825093",49.575777,10.825093,node/9037924993,https://www.openstreetmap.org/node/9037924993,2026-08-05,parcial,no comprobado
Hofladen Familie Hümmer,Alemania,DE,Bayern,DE-BY,Bad Staffelstein,Pan y cereal,Brot und Getreide,"Horsdorfer Straße 36, 96231 Bad Staffelstein","Tu-Fr 09:00-12:30, 14:00-18:00; Sa 08:00-13:00; Mo,Su,Ph off",+4995735732,hartwighuemmer@t-online.de,https://foodahoo.com/hofladen/bad-staffelstein/hofladen-familie-hummer/7984,,,"https://www.google.com/maps?q=50.098391,11.000820",50.098391,11.000820,node/9903479621,https://www.openstreetmap.org/node/9903479621,2026-08-05,parcial,no comprobado
Unser Bio-Ei,Alemania,DE,Bayern,DE-BY,Baiern,Huevos,Eier,"Alpenstraße, 85625 Baiern","Apr-Sep Mo-Su,PH 07:00-20:00; Oct-Mar Mo-Su,PH 07:00-18:00",+4980931581,,https://www.unser-bio-ei.de,,,"https://www.google.com/maps?q=47.951372,11.906210",47.951372,11.906210,way/296930953,https://www.openstreetmap.org/way/296930953,2026-08-05,parcial,no comprobado
Gärtnerei Sebastian Niedermaier,Alemania,DE,Bayern,DE-BY,Bamberg,Fruta y verdura,Obst und Gemüse,"Mittelstraße 42, 96052 Bamberg","Tu,Sa 09:00-13:00; We,Fr 14:00-19:00",+4995112060916,info@sebastian-niedermaier.de,http://www.sebastian-niedermaier.de/,,,"https://www.google.com/maps?q=49.899666,10.891982",49.899666,10.891982,node/7417564837,https://www.openstreetmap.org/node/7417564837,2026-08-05,parcial,no comprobado
Penker Obstbrennerei,Alemania,DE,Bayern,DE-BY,Bayerbach bei Ergoldsbach,Destilados y licores,Spirituosen und Liköre,"Penk 2a, 84092 Bayerbach bei Ergoldsbach",,+4987741301,info@penker-obstbrennerei.de,https://www.penker-obstbrennerei.de/,,,"https://www.google.com/maps?q=48.720472,12.289107",48.720472,12.289107,node/4142327931,https://www.openstreetmap.org/node/4142327931,2026-08-05,parcial,no comprobado
Wild-Berghof Gstettenbauer,Alemania,DE,Bayern,DE-BY,Bernried,Carne,Fleisch und Wurst,"Buchet 2, 94505 Bernried",,+499905248,wildberghof-buchet@t-online.de,https://wildberghof-shop.de/,,,"https://www.google.com/maps?q=48.924174,12.919401",48.924174,12.919401,way/255261864,https://www.openstreetmap.org/way/255261864,2026-08-05,parcial,no comprobado
Hofladen Obergrashof,Alemania,DE,Bayern,DE-BY,Dachau,Otros,,"Obergrashof 1, 85221 Dachau","Tu,Fr 09:00-19:00; Th 13:00-19:00; Sa 09:00-12:00",+498131539850,hofladen@obergrashof.de,https://obergrashof.de/hofladen,,,"https://www.google.com/maps?q=48.255325,11.491219",48.255325,11.491219,node/1437437807,https://www.openstreetmap.org/node/1437437807,2026-08-05,parcial,no comprobado
Zellermühle Hofladen,Alemania,DE,Bayern,DE-BY,Deining,Otros,,"Untere Hauptstraße 7, 92364 Deining","Tu,Sa 08:30-12:00, Th,Fr 14:00-18:00; PH off",+499841801384,hofladen@zellermuehle.bayern,https://www.zellermuehle.bayern/bio-hofladen.html,,,"https://www.google.com/maps?q=49.223942,11.540707",49.223942,11.540707,node/6406321947,https://www.openstreetmap.org/node/6406321947,2026-08-05,parcial,no comprobado
Florian Schechner,Alemania,DE,Bayern,DE-BY,Ebersberg,Otros,,"Sigersdorf 1a, 85560 Ebersberg",Fr 13:00-17:00; Sa 09:00-12:30; PH off,+4980928620775,info@steindlhof.de,https://www.steindlhof.de,,,"https://www.google.com/maps?q=48.094262,11.993007",48.094262,11.993007,node/9250121099,https://www.openstreetmap.org/node/9250121099,2026-08-05,parcial,no comprobado
Pfabhof,Alemania,DE,Bayern,DE-BY,Eching,Otros,,"Am Grundfeld 2, 85386 Eching",Tu 9:00 - 13:30; Th 15:00 - 19:00; Sa 10:00 - 14:00,+49176415229,info@pfabhof.bio,https://pfabhof.bio/,,,"https://www.google.com/maps?q=48.319035,11.589272",48.319035,11.589272,node/8422053020,https://www.openstreetmap.org/node/8422053020,2026-08-05,parcial,no comprobado
Verkaufshaus Gut Hollern,Alemania,DE,Bayern,DE-BY,Eching,Otros,,"Gut Hollern 1a, 85386 Eching",Mo-Su 07:00-20:00,+491704034779,info@hof-guthollern.de,https://www.hof-guthollern.de/,,,"https://www.google.com/maps?q=48.290026,11.596839",48.290026,11.596839,node/6815987913,https://www.openstreetmap.org/node/6815987913,2026-08-05,parcial,no comprobado
Biohof Eckert,Alemania,DE,Bayern,DE-BY,Eckental,Miel,Honig,"Färberstraße 3, 90542 Eckental","We 15:00-19:00, Fr 14:00-19:00, Sa 09:00-13:00",+4991261406,markus.eckert@gmx.de,https://www.biohof-eckert.de/,,,"https://www.google.com/maps?q=49.578201,11.258937",49.578201,11.258937,node/5628910184,https://www.openstreetmap.org/node/5628910184,2026-08-05,parcial,no comprobado
Imkerei Feuerstein,Alemania,DE,Bayern,DE-BY,Elchingen,Miel,Honig,"Lange Straße 1, 89275 Elchingen","Mo-Tu 09:00-12:30, Th-Sa 09:00-12:30",+4917620253677,robert.feuerstein@imkerei-feuerstein.de,https://www.imkerei-feuerstein.de/,,,"https://www.google.com/maps?q=48.454241,10.102085",48.454241,10.102085,node/6408777809,https://www.openstreetmap.org/node/6408777809,2026-08-05,parcial,no comprobado
Der Dorfladen,Alemania,DE,Bayern,DE-BY,Erlangen,Lácteos y quesos,Käse und Milchprodukte,"Hüttendorfer Straße 100, 91056 Erlangen","Th 10:00-12:00,16:00-18:00; Fr 10:00-18:00; Sa 09:00-12:00",+49911763651,der.dorfladen@web.de,https://dorfladenebersberger.de/,,,"https://www.google.com/maps?q=49.547448,10.961154",49.547448,10.961154,node/848935016,https://www.openstreetmap.org/node/848935016,2026-08-05,parcial,no comprobado
