slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
hotspot-cattle,Hotspot Cattle,Ventersdorp,Carne,,Oatlands,,,+27737473239,model.hotspot@gmail.com,http://www.hotspotcattle.co.za/,https://www.facebook.com/1671361986459918,,,-26.29394,27.05626,,pendiente,no comprobado,,,414,,,,,,,za,north-west,dr-kenneth-kaunda
jacobs-brewhouse-and-distillery,Jacobs Brewhouse and Distillery,Wolmaranstad,Cerveza,,Leask St,,,+27832254644,,,https://www.facebook.com/1641700022751887,,,-27.1983841,25.9856778,,pendiente,no comprobado,,,432,,,,,,,za,north-west,dr-kenneth-kaunda
jankie-se-soetgoed,Jankie se Soetgoed,Klerksdorp,Pan y cereal,pan y productos de cereal,klerksdorp,,,+27636823645,jankiesesoetgoed@gmail.com,https://brand.site/jankiesesoetgoed,https://www.facebook.com/1092419003957959,,,-26.85785,26.67821,,pendiente,no comprobado,,,437,,,,,,,za,north-west,dr-kenneth-kaunda
kohra-lion-farm,Kohra Lion Farm,Klerksdorp,Otros,,Buffeldoorn,,,+27833016348,,,https://www.facebook.com/1082300705161361,,,-26.82916,26.68887,,pendiente,no comprobado,,,479,,,,,,,za,north-west,dr-kenneth-kaunda
marico-river-honey-bee-co,Marico River Honey Bee Co,Potchefstroom,Otros,,84 Retief St,,,+27761111145,maricoriverhoney@gmail.com,http://maricoriverhoneybee.com/,https://www.facebook.com/129043316967958,,,-26.7074251,27.0929918,,pendiente,no comprobado,,,560,,,,,,,za,north-west,dr-kenneth-kaunda
talliesville-kinderplaas,Talliesville Kinderplaas,Potchefstroom,Otros,,95 Harpington,,,+27824447817,talliesville@gmail.com,http://talliesvilleplaas.co.za/,https://www.facebook.com/398680553967346,,,-26.71451,27.09622,,pendiente,no comprobado,,,880,,,,,,,za,north-west,dr-kenneth-kaunda
tlokwe-breweries,Tlokwe Breweries,JB Marks,Cerveza,,39 Forssman St,,,+27182930820,,,https://www.facebook.com/470589919638555,,,-26.7234635,27.0701907,,pendiente,no comprobado,,,930,,,,,,,za,north-west,dr-kenneth-kaunda
ukilima-ezinkulu-farming,Ukilima Ezinkulu Farming,Wolmaransstad,Otros,,ukilima ezinkulu farming,,,+27724370707,info@ukilimafarm.co.za,http://ukilimafarm.co.za/,https://www.facebook.com/102168348483813,,,-27.0512753,26.191087,,pendiente,no comprobado,,,945,,,,,,,za,north-west,dr-kenneth-kaunda
wynn-with-milk-farm,Wynn-With Milk Farm,Parys,Lácteos y quesos,leche y productos lácteos,Rockridge Farm,,,+27568172101,roelien@wynnwith.co.za,https://twitter.com/WynnWithMilk,https://www.facebook.com/546081538803478,,,-26.863356,27.422286,,pendiente,no comprobado,,,1015,,,,,,,za,north-west,dr-kenneth-kaunda
yolandie-olech-self-taught-home-baker,Yolandie Olech - Self Taught Home Baker,Potchefstroom,Pan y cereal,pan y productos de cereal,,,,+27782131676,yolandie.olech@gmail.com,https://linktr.ee/yolandieolech,https://www.facebook.com/1458813504366757,,,-26.7220004,27.1171117,,pendiente,no comprobado,,,1022,,,,,,,za,north-west,dr-kenneth-kaunda
sunset-view-farm,Sunset View Farm,Potchefstroom,Lácteos y quesos,"Dairy, poultry, red meat and vegetables",,,,,,https://sunsetviewfarm.co.za/,,,,,,,pendiente,no comprobado,,,1095,,,,,,,za,north-west,dr-kenneth-kaunda
artisan-honey-van-eeden-apiaries,Artisan Honey / Van Eeden Apiaries,Klerksdorp,Miel,Raw honey and bee products,,,,,,https://artisanhoney.co.za/,,,,,,,pendiente,no comprobado,,,1096,,,,,,,za,north-west,dr-kenneth-kaunda
