slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
mozzarella-bufala-caseificio-lattai-ponticorvo-di-luca-ponticorvo-450,Caseificio LATTAI PONTICORVO di Luca Ponticorvo,Alvignano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"S.P. 66 23/B, Loc. Ponte dei briganti - Alvignano (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@lattaiponticorvo.it,https://lattaiponticorvo.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20LATTAI%20PONTICORVO%20di%20Luca%20Ponticorvo%2C%20S.P.%2066%2023%2FB%2C%20Loc.%20Ponte%20dei%20briganti%20-%20Alvignano%20%28CE%29&query_place_id=ChIJWb8CRrxeOhMRt2Jdlpa7tvw",41.2701067,14.3609645,,parcial,sí,ecommerce,,1214,es,,,,,
mozzarella-bufala-caseificio-marrandino-s-r-l-409,Caseificio MARRANDINO  s.r.l.,Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via P. Pagliuca 2 - 81030 Castelvolturno (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@marrandino.it,https://marrandino.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20MARRANDINO%20%20s.r.l.%2C%20Via%20P.%20Pagliuca%202%20-%2081030%20Castelvolturno%20%28CE%29&query_place_id=ChIJqQNnbNofOxMRg_Bryu40DIg",41.0607511,13.9401777,,parcial,sí,ecommerce,,1241,es,,,,,
mozzarella-bufala-caseificio-ponticorvo-srl-445,Caseificio PONTICORVO SRL,Alvignano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Miglio n.25-Alvignano (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823865000,info@caseificioponticorvosrl.it,https://caseificioponticorvo.it,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20PONTICORVO%20SRL%2C%20Via%20Miglio%20n.25-Alvignano%20%28CE%29&query_place_id=ChIJn--vcGZZOhMRg9mc4N2guqA",41.2202146,14.3594216,,parcial,sí,ecommerce,,1306,es,,,,,
mozzarella-bufala-caseificio-punto-vitale-srl-437,Caseificio PUNTO VITALE srl,Presenzano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via S.S.Venafrana km.6.950 Presenzano (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@puntovitale.net,https://puntovitale.net,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20PUNTO%20VITALE%20srl%2C%20Via%20S.S.Venafrana%20km.6.950%20Presenzano%20%28CE%29&query_place_id=ChIJZcrVkFmNOhMRrHOvsuSMVls",41.37629,14.1026803,,parcial,sí,ecommerce,,1315,es,,,,,
mozzarella-bufala-caseificio-san-martino-srl-469,CASEIFICIO SAN MARTINO srl,Grazzanise,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Capua 23, fraz. Brezza - 81046 Grazzanise(CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823991010,caseificio.sanmartin@alice.it,https://www.caseificiosanmartino.com,,,,41.08333,14.1,,parcial,no comprobado,,,1344,es,,,,,
mozzarella-bufala-caseificio-sori-italia-srl-402,Caseificio SORI’ ITALIA srl,Teano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"S.S.Casilina km. 181,4 – 81057 Teano (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,segreteria@soritalia.com,https://soritalia.com,,,"https://www.google.com/maps/search/?api=1&query=Caseificio%20SORI%E2%80%99%20ITALIA%20srl%2C%20S.S.Casilina%20km.%20181%2C4%20%E2%80%93%2081057%20Teano%20%28CE%29&query_place_id=ChIJqZJ-Uq3vOhMR64TKgpOqYcI",41.2367936,14.1044548,,parcial,no comprobado,,,1446,es,,,,,
mozzarella-bufala-coop-agricola-zootecnica-salicella-a-r-l-392,Coop Agricola Zootecnica SALICELLA a r.l.,Carinola,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Rio Persico, 6  -81030 Nocelleto di Carinola (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,gcsalicella@libero.it,https://salicella.it,,,"",41.1352219,14.0183115,,parcial,no comprobado,,,1567,es,,,,,
mozzarella-bufala-coop-la-contadina-a-r-l-395,Coop. LA CONTADINA a r.l.,Grazzanise,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Andreozzi Loc. Borgo Appio  -81046 Grazzanise (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@caseificiocooplacontadina.com,https://caseificiocooplacontadina.com,,,"https://www.google.com/maps/search/?api=1&query=Coop.%20LA%20CONTADINA%20a%20r.l.%2C%20Via%20Andreozzi%20Loc.%20Borgo%20Appio%20%20-81046%20Grazzanise%20%28CE%29&query_place_id=ChIJvzxIWAXjOhMR4ndevqdzbO4",41.1036042,14.062281,,parcial,no comprobado,,,1568,es,,,,,
mozzarella-bufala-coop-sociale-le-terre-di-don-peppe-diana-libera-terra-431,Coop. Sociale LE TERRE DI DON PEPPE DIANA – Libera Terra,Castel Volturno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Pietro Pagliuca - Trav. del CIgno – 81030 Castel Volturno (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+393274607345,info@leterredidonpeppediana.it,https://leterredidonpeppediana.it,,,"https://www.google.com/maps/search/?api=1&query=Coop.%20Sociale%20LE%20TERRE%20DI%20DON%20PEPPE%20DIANA%20%E2%80%93%20Libera%20Terra%2C%20Via%20Pietro%20Pagliuca%20-%20Trav.%20del%20CIgno%20%E2%80%93%2081030%20Castel%20Volturno%20%28CE%29&query_place_id=ChIJN8SsANsfOxMRoU8VyXvZ9cQ",41.0636015,13.9585259,,parcial,sí,ecommerce,,1570,es,,,,,
mozzarella-bufala-fattorie-garofalo-benefit-spa-413,FATTORIE GAROFALO BENEFIT SPA,Capua,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via S.Maria Capua Vetere – 81043 Capua (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823620019,info@casarodelre.it,https://casarodelre.it,,,"https://www.google.com/maps/search/?api=1&query=FATTORIE%20GAROFALO%20BENEFIT%20SPA%2C%20Via%20S.Maria%20Capua%20Vetere%20%E2%80%93%2081043%20Capua%20%28CE%29&query_place_id=ChIJKVnDJN3-OhMR56wmZdC2NbA",41.0941241,14.2280241,,parcial,no comprobado,,,1783,es,,,,,
mozzarella-bufala-fattorie-garofalo-benefit-spa-383,FATTORIE GAROFALO BENEFIT SPA,Capua,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via S. Maria Capua Vetere, 121 - Capua (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823620044,info@fattoriegarofalo.it,https://fattoriegarofalo.it,,,"https://www.google.com/maps/search/?api=1&query=FATTORIE%20GAROFALO%20BENEFIT%20SPA%2C%20Via%20S.%20Maria%20Capua%20Vetere%2C%20121%20-%20Capua%20%28CE%29&query_place_id=ChIJKVnDJN3-OhMR56wmZdC2NbA",41.0946706,14.2273339,,parcial,sí,ecommerce,,1782,es,,,,,
mozzarella-bufala-franzese-soc-agric-srl-479,FRANZESE Soc. Agric. srl,San Marcellino,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Corso Europa 228 - S. Marcellino,Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390818900592,aziendabufalinafranzese@gmail.com,https://caseificiofranzese.it,,,"",40.996646,14.1288032,,parcial,sí,ecommerce,,1958,es,,,,,
mozzarella-bufala-il-caciaro-di-ponticorvo-antonino-482,IL CACIARO di Ponticorvo Antonino,Alife,Lácteos y quesos,Mozzarella di Bufala Campana DOP,S.P. 331 - loc. Masseria Bianca - 81011 Alife,Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823610929,ilcaciaro@virgilio.it,https://www.instagram.com/matesicasariponticorvo/,,,"https://www.google.com/maps/search/?api=1&query=IL%20CACIARO%20di%20Ponticorvo%20Antonino%2C%20S.P.%20331%20-%20loc.%20Masseria%20Bianca%20-%2081011%20Alife&query_place_id=ChIJLVg8m_ZfOhMRTea1dEgssDM",41.310791,14.3339147,,parcial,no comprobado,,,2096,es,,,,,
mozzarella-bufala-industria-casearia-cilento-spa-396,Industria Casearia CILENTO SpA,Cellole,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via Campo Felice s.c.- 81030 CELLOLE (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@cilentospa.it,https://cilentospa.it,,,"https://www.google.com/maps/search/?api=1&query=Industria%20Casearia%20CILENTO%20SpA%2C%20Via%20Campo%20Felice%20s.c.-%2081030%20CELLOLE%20%28CE%29&query_place_id=ChIJ4y_FqJ3cOhMRl9sk9pl2poA",41.2153907,13.8218577,,parcial,no comprobado,,,2155,es,,,,,
mozzarella-bufala-la-nuova-casearia-426,LA NUOVA CASEARIA,Villa Literno,Lácteos y quesos,Mozzarella di Bufala Campana DOP,Via S.Maria a Cubito – 81039 Villa Literno (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390818164112,info@lanuovacasearia.com,https://lanuovacasearia.com,,,"https://www.google.com/maps/search/?api=1&query=LA%20NUOVA%20CASEARIA%2C%20Via%20S.Maria%20a%20Cubito%20%E2%80%93%2081039%20Villa%20Literno%20%28CE%29&query_place_id=ChIJF6afTlEDOxMRbBBeV25-4KQ",40.9752001,14.104778,,parcial,no comprobado,,,2255,es,,,,,
mozzarella-bufala-mandara-industria-lattiero-casearia-la-mediterranea-spa-381,Mandara - Industria Lattiero Casearia LA MEDITERRANEA SpA,Mondragone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"S.S. Domitiana km. 23,500 - 81034 Mondragone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@mozzarellamandara.com,https://mozzarellamandara.com,,,"https://www.google.com/maps/search/?api=1&query=Mandara%20-%20Industria%20Lattiero%20Casearia%20LA%20MEDITERRANEA%20SpA%2C%20S.S.%20Domitiana%20km.%2023%2C500%20-%2081034%20Mondragone%20%28CE%29&query_place_id=ChIJAdlpwLPfOhMRRgj5uID-IU4",41.074519,13.9186655,,parcial,no comprobado,,,2549,es,,,,,
mozzarella-bufala-ponte-reale-s-p-a-408,PONTE REALE  S.p.A.,Ciorlano,Lácteos y quesos,Mozzarella di Bufala Campana DOP,S.P. Ponte Reale - km. 7+600 - 81010 Ciorlano (CE),Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823940020,info@pontereale.it,https://pontereale.it,,,"https://www.google.com/maps/search/?api=1&query=PONTE%20REALE%20%20S.p.A.%2C%20S.P.%20Ponte%20Reale%20-%20km.%207%2B600%20-%2081010%20Ciorlano%20%28CE%29&query_place_id=ChIJVYh1SP-ROhMRTrfXGCgUkPg",41.4479045,14.078019,,parcial,no comprobado,,,2991,es,,,,,
mozzarella-bufala-r-e-g-della-valle-srl-465,R&G DELLA VALLE srl,Cancello ed Arnone,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Agnena, 1 - 80130 Cancello ed Arnone (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,+390823866575,reg.dellavalle@virgilio.it,https://www.mozzarelladop.it/mappasoci,,,"https://www.google.com/maps/search/?api=1&query=R%26G%20DELLA%20VALLE%20srl%2C%20Via%20Agnena%2C%201%20-%2080130%20Cancello%20ed%20Arnone%20%28CE%29&query_place_id=ChIJGYV0TwDhOhMRazTGT0fIgvY",41.0932854,13.9853277,,parcial,no comprobado,,,3019,es,,,,,
mozzarella-bufala-soc-coop-agricola-agrizoo-a-r-l-antico-demanio-411,Soc. Coop. Agricola AGRIZOO a r.l. 'Antico Demanio',Pignataro Maggiore,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Demanio di Calvi, 3 – 81052 Pignataro Maggiore (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@anticodemanio.it,https://anticodemanio.it,,,"https://www.google.com/maps/search/?api=1&query=Soc.%20Coop.%20Agricola%20AGRIZOO%20a%20r.l.%20%27Antico%20Demanio%27%2C%20Via%20Demanio%20di%20Calvi%2C%203%20%E2%80%93%2081052%20Pignataro%20Maggiore%20%28CE%29&query_place_id=ChIJYYBhuLPkOhMRXipWoSccTro",41.1433095,14.0932328,,parcial,no comprobado,,,3143,es,,,,,
mozzarella-bufala-soc-coop-agricola-la-marchesa-388,Soc. Coop. Agricola LA MARCHESA,Teverola,Lácteos y quesos,Mozzarella di Bufala Campana DOP,"Via Appia Km. 11,800 - Teverola (CE)",Caseificio activo inscrito por el consorcio oficial como productor de Mozzarella di Bufala Campana DOP.,,,info@la-marchesa.it,https://la-marchesa.it,,,"https://www.google.com/maps/search/?api=1&query=Soc.%20Coop.%20Agricola%20LA%20MARCHESA%2C%20Via%20Appia%20Km.%2011%2C800%20-%20Teverola%20%28CE%29&query_place_id=ChIJU6pHd5lUOhMRGxRSvdoi6lk",41.0064425,14.2119664,,parcial,sí,ecommerce,,3144,es,,,,,
